encoded_0,encoded_1,encoded_2,encoded_3,encoded_4,encoded_5,encoded_6,encoded_7,start_date
4.218996,3.704892,0.0,0.0,0.20719387,0.0,2.5746324,5.581694,2010-10-28
4.5198894,3.8938098,0.0,0.0,0.13421883,0.0,2.9786682,5.6574636,2010-10-29
4.9219394,4.145524,0.0,0.0,0.26017782,0.0,3.6135118,5.79604,2010-11-01
5.351751,4.51808,0.0,0.0,0.5196997,0.0,4.372564,5.9603696,2010-11-02
5.08108,4.5811744,0.0,0.0,0.83286124,0.0,3.802797,5.703144,2010-11-03
4.8928037,4.6704626,0.0,0.0,0.84014434,0.0,3.5358677,5.6779904,2010-11-04
4.5694385,4.591546,0.0,0.0,0.73859656,0.0,3.0944362,5.6226935,2010-11-05
4.465834,4.5652194,0.0,0.0,0.5811653,0.0,2.9382253,5.6212687,2010-11-08
4.1809587,4.302401,0.0,0.0,0.3846589,0.0,2.5347662,5.569196,2010-11-09
4.032365,4.187384,0.0,0.0,0.32941982,0.0,2.324837,5.5487704,2010-11-10
4.0505443,4.096487,0.0,0.0,0.22482051,0.0,2.349365,5.568751,2010-11-11
4.039146,4.004713,0.0,0.0,0.23754753,0.0,2.336564,5.5715766,2010-11-12
3.9413297,3.7348728,0.0,0.0,0.1363134,0.0,2.184768,5.580987,2010-11-15
3.895122,3.6630483,0.0,0.0,0.10938968,0.0,2.1205475,5.5596137,2010-11-16
4.2438607,3.807895,0.0,0.0,0.11912908,0.0,2.6258872,5.601843,2010-11-17
4.4938254,3.8825784,0.0,0.0,0.21656586,0.0,2.9779065,5.637067,2010-11-18
4.512284,3.8350995,0.0,0.0,0.2988833,0.0,3.0203557,5.6318107,2010-11-19
4.2617583,3.745861,0.0,0.0,0.32346246,0.0,2.6658804,5.566244,2010-11-22
4.008231,3.5874653,0.0,0.0,0.29478827,0.0,2.3171113,5.551347,2010-11-23
3.8377721,3.3474658,0.0,0.0,0.11318357,0.0,2.062155,5.5638986,2010-11-24
3.7707841,3.1901934,0.0,0.0,0.0,0.0,1.9488407,5.567275,2010-11-25
3.8644974,3.2898314,0.0,0.0,0.0,0.0,2.0845783,5.548052,2010-11-26
3.9613094,3.4486446,0.0,0.0,0.08492167,0.0,2.2427986,5.5424514,2010-11-29
4.027252,3.557281,0.0,0.0,0.17513718,0.0,2.3484347,5.5536294,2010-11-30
4.489136,3.6650379,0.0,0.0,0.097390726,0.0,3.0370896,5.7022357,2010-12-01
4.822142,3.8838139,0.0,0.0,0.27477244,0.0,3.583726,5.7921576,2010-12-02
5.3309073,4.363547,0.0,0.0,0.5594975,0.0,4.6491766,6.0812926,2010-12-03
6.063807,5.5675654,0.0,0.0,1.2027668,0.0,7.309667,7.1353273,2010-12-06
6.165781,5.9768887,0.0,0.0,1.8279909,0.0,7.150498,6.7935777,2010-12-07
5.909117,5.8484592,0.0,0.0,1.7203208,0.0,5.99462,6.278105,2010-12-08
5.537111,5.542757,0.0,0.0,1.4785708,0.0,4.694462,5.809274,2010-12-09
5.6368313,5.573055,0.0,0.0,1.345924,0.0,5.018621,5.996802,2010-12-10
5.1323643,5.263584,0.0,0.0,1.1741409,0.0,3.9429927,5.6937013,2010-12-13
4.729292,5.081724,0.0,0.0,1.1217867,0.0,3.4253807,5.6337733,2010-12-14
4.7051682,4.925925,0.0,0.0,0.990641,0.0,3.3675618,5.6687512,2010-12-15
4.80675,4.92642,0.0,0.0,0.94904304,0.0,3.4979885,5.685544,2010-12-16
4.9280047,4.9207134,0.0,0.0,0.9137864,0.0,3.6642563,5.6936073,2010-12-17
5.617041,5.5596604,0.0,0.0,1.1941286,0.0,5.3244443,6.1916394,2010-12-20
5.9385056,6.0214624,0.0,0.0,1.714651,0.0,6.5911307,6.6838,2010-12-21
5.8274674,5.893685,0.0,0.0,1.8141786,0.0,6.185122,6.4547653,2010-12-22
5.2580857,5.3151217,0.0,0.0,1.5573214,0.0,4.292175,5.7090793,2010-12-23
4.6040015,4.8627887,0.0,0.0,1.316954,0.0,3.367013,5.602321,2010-12-24
4.384667,4.3946867,0.0,0.0,1.0278786,0.0,3.0373862,5.6047873,2010-12-27
4.2793546,4.1999454,0.0,0.0,0.8388275,0.0,2.870252,5.5726686,2010-12-28
4.1487904,4.0976934,0.0,0.0,0.828568,0.0,2.7007573,5.5200925,2010-12-29
4.1200166,4.063686,0.0,0.0,0.87451303,0.0,2.6723523,5.5135665,2010-12-30
4.2826753,4.0640182,0.0,0.0,0.8441998,0.0,2.8901253,5.555867,2010-12-31
5.2721114,4.6800995,0.0,0.0,0.8659781,0.0,5.341399,6.5087266,2011-01-03
5.3556457,4.815654,0.0,0.0,1.4432123,0.0,5.1128464,6.098384,2011-01-04
5.000521,4.6393023,0.0,0.0,1.4291744,0.0,3.9741027,5.6227994,2011-01-05
4.765927,4.397396,0.0,0.0,1.2400113,0.0,3.6154552,5.619466,2011-01-06
4.5932426,4.188422,0.0,0.0,1.0468355,0.0,3.3393416,5.572679,2011-01-07
5.484119,4.824614,0.0,0.0,0.7912078,0.0,6.224834,6.8851933,2011-01-10
5.9077635,5.5297103,0.0,0.0,1.7583948,0.0,7.2173085,6.934005,2011-01-11
5.95738,5.892145,0.0,0.0,2.1711345,0.0,7.309439,6.869717,2011-01-12
5.6923857,5.808904,0.0,0.0,2.1024847,0.0,6.0163956,6.2634377,2011-01-13
5.6878595,5.91795,0.0,0.0,2.0845404,0.0,6.1535525,6.41993,2011-01-14
5.077565,5.220521,0.0,0.0,1.5382518,0.0,4.0571876,5.6107564,2011-01-17
4.967704,5.125233,0.0,0.0,1.4548486,0.0,3.9013977,5.616451,2011-01-18
4.867867,5.1312532,0.0,0.0,1.3962585,0.0,3.7566051,5.584763,2011-01-19
5.2298617,5.3841224,0.0,0.0,1.4721732,0.0,4.3329296,5.70089,2011-01-20
4.963412,5.2369943,0.0,0.0,1.4074566,0.0,3.8744957,5.587108,2011-01-21
5.147491,5.083664,0.0,0.0,1.352348,0.0,4.2340865,5.7594905,2011-01-24
4.917749,4.6787324,0.0,0.0,1.2401197,0.0,3.8660574,5.6391563,2011-01-25
