start_date,stock_id,Feature1,Feature2,Feature3
2025-02-07,2330,-0.8169214,-0.4012103,0.5267657
2025-02-10,2330,-0.8686189,-0.40857393,0.42129126
2025-02-11,2330,-0.8764637,-0.41104305,0.38343373
2025-02-12,2330,-0.83956957,-0.42391258,0.37250525
2025-02-13,2330,-0.8106716,-0.37154746,0.42978358
2025-02-14,2330,-0.74479777,-0.3961547,0.4733897
2025-02-17,2330,-0.6259485,-0.39918333,0.5700633
2025-02-18,2330,-0.5286473,-0.42077368,0.60068333
2025-02-19,2330,-0.48266816,-0.4203083,0.5817464
2025-02-20,2330,-0.4687894,-0.4082423,0.5376468
2025-02-21,2330,-0.45568234,-0.39548087,0.49552545
2025-02-24,2330,-0.45689255,-0.40962178,0.3776175
2025-02-25,2330,-0.4559179,-0.42430466,0.3058515
2025-02-26,2330,-0.4530015,-0.42046988,0.25681582
2025-02-27,2330,-0.4548223,-0.4273777,0.20212072
2024-12-04,2454,-1.3969755,-0.2265489,0.55704683
2024-12-05,2454,-1.4421113,-0.20076747,0.56761044
2024-12-06,2454,-1.4536765,-0.20114355,0.6074868
2024-12-09,2454,-1.3956528,-0.164512,0.73016053
2024-12-10,2454,-1.3745602,-0.14162467,0.77644366
2024-12-11,2454,-1.3278152,-0.13375445,0.8109862
2024-12-12,2454,-1.2797314,-0.11471166,0.8745957
2024-12-13,2454,-1.2723297,-0.08829494,0.8575367
2024-12-16,2454,-1.2650094,-0.0859517,0.8355536
2024-12-17,2454,-1.244868,-0.050779656,0.8538162
2024-12-18,2454,-1.233439,-0.054408446,0.8128342
2024-12-19,2454,-1.1244675,-0.022646084,0.85122114
2024-12-20,2454,-1.0388207,-0.040572748,0.8522734
2024-12-23,2454,-1.0661296,-0.04786648,0.8274786
2024-12-24,2454,-1.1102182,-0.055533037,0.78637767
2024-12-25,2454,-1.1239114,-0.06751613,0.7494852
2024-12-26,2454,-1.1759493,-0.07226737,0.67648524
2024-12-27,2454,-1.2605792,-0.06572987,0.5801975
2024-12-30,2454,-1.2084734,-0.06401606,0.5700937
2024-12-31,2454,-1.1580443,-0.045138136,0.60138535
2025-01-02,2454,-1.0864755,-0.091389075,0.6430655
2025-01-03,2454,-1.0425727,-0.1474813,0.7035106
2025-01-06,2454,-0.99212056,-0.14886917,0.7764254
2025-01-07,2454,-0.997518,-0.13347028,0.7500993
2025-01-08,2454,-1.0326023,-0.122465506,0.651211
2025-01-09,2454,-1.0867425,-0.17684005,0.54711485
2025-01-10,2454,-1.1639023,-0.15397184,0.51370335
2025-01-13,2454,-1.2048259,-0.16344182,0.44443268
2025-01-14,2454,-1.2642128,-0.15280025,0.49034044
2025-01-15,2454,-1.304156,-0.14298983,0.5046572
2025-01-16,2454,-1.3073437,-0.13152258,0.5857686
2025-01-17,2454,-1.3006053,-0.11417188,0.6121333
2025-01-20,2454,-1.3039082,-0.11373775,0.6753971
2025-01-21,2454,-1.2630132,-0.11460455,0.72590655
2025-01-22,2454,-1.2235229,-0.16807683,0.7582938
2025-02-03,2454,-1.1779835,-0.19382437,0.7827442
2025-02-04,2454,-1.1706203,-0.22070973,0.79260176
2025-02-05,2454,-1.1593688,-0.23478456,0.80412483
2025-02-06,2454,-1.1866672,-0.27318567,0.75203377
2025-02-07,2454,-1.1722014,-0.28127497,0.76324815
2025-02-10,2454,-1.1577659,-0.31584942,0.7282713
2025-02-11,2454,-1.174397,-0.3428231,0.72617096
2025-02-12,2454,-1.1864643,-0.39502788,0.69681364
2025-02-13,2454,-1.1873381,-0.4070375,0.72714645
2025-02-14,2454,-1.162163,-0.4231423,0.73130125
2025-02-17,2454,-1.064038,-0.39125496,0.8181756
2025-02-18,2454,-1.002094,-0.44068164,0.81507987
2025-02-19,2454,-0.9685604,-0.4541129,0.8003091
2025-02-20,2454,-0.90117854,-0.45313942,0.79029953
2025-02-21,2454,-0.8144271,-0.43300033,0.8250799
2025-02-24,2454,-0.6695013,-0.4146614,0.876442
2025-02-25,2454,-0.56129754,-0.4479431,0.8678153
2025-02-26,2454,-0.49052066,-0.40655237,0.86399466
2025-02-27,2454,-0.422781,-0.40620756,0.7935119
