new_index,nearest_index,distance,reference_date,infer_date
0,0,2.822774427371867e-07,2010-10-28,2010-10-21
1,1,4.5843365947631436e-07,2010-10-29,2010-10-22
2,2,4.92753124785047e-07,2010-11-01,2010-10-25
3,3,2.2186366411518137e-07,2010-11-02,2010-10-26
4,4,1.4043918591658763e-07,2010-11-03,2010-10-27
5,5,3.277703422100128e-07,2010-11-04,2010-10-28
6,6,4.779992659930512e-07,2010-11-05,2010-10-29
7,7,9.804463251100934e-08,2010-11-08,2010-11-01
8,8,3.625335884742923e-07,2010-11-09,2010-11-02
9,9,1.9840935112127602e-07,2010-11-10,2010-11-03
10,10,3.3375337194347144e-07,2010-11-11,2010-11-04
11,11,3.553588775379456e-07,2010-11-12,2010-11-05
12,12,3.364623809087778e-07,2010-11-15,2010-11-08
13,13,3.7966968574426814e-07,2010-11-16,2010-11-09
14,14,1.1767266120897434e-07,2010-11-17,2010-11-10
15,15,1.3927441868043018e-07,2010-11-18,2010-11-11
16,16,4.1357712796005386e-07,2010-11-19,2010-11-12
17,17,4.214103354654781e-07,2010-11-22,2010-11-15
18,18,4.5548046423179955e-07,2010-11-23,2010-11-16
19,19,2.690559078429557e-07,2010-11-24,2010-11-17
20,20,2.1353127274053368e-07,2010-11-25,2010-11-18
21,21,3.1644545875052974e-07,2010-11-26,2010-11-19
22,22,8.067860285667282e-08,2010-11-29,2010-11-22
23,23,1.8853046667137926e-07,2010-11-30,2010-11-23
24,24,4.50686572929309e-07,2010-12-01,2010-11-24
25,25,2.889221636491239e-07,2010-12-02,2010-11-25
26,26,3.2465178170605754e-07,2010-12-03,2010-11-26
27,27,1.5273687271420925e-07,2010-12-06,2010-11-29
28,28,3.24322757758384e-07,2010-12-07,2010-11-30
29,29,1.4208621977251074e-07,2010-12-08,2010-12-01
30,30,3.9720765298264647e-07,2010-12-09,2010-12-02
31,31,4.638054097255724e-07,2010-12-10,2010-12-03
32,32,5.003251929793469e-07,2010-12-13,2010-12-06
33,33,3.3734986220998356e-07,2010-12-14,2010-12-07
34,34,3.4371134591964544e-07,2010-12-15,2010-12-08
35,35,1.002958543843137e-07,2010-12-16,2010-12-09
36,36,3.7181458306423077e-07,2010-12-17,2010-12-10
37,37,4.3892937873301797e-07,2010-12-20,2010-12-13
38,38,2.3057023459150424e-07,2010-12-21,2010-12-14
39,39,1.5496134494439106e-07,2010-12-22,2010-12-15
40,40,2.807757504930565e-07,2010-12-23,2010-12-16
41,41,1.0801864479623604e-07,2010-12-24,2010-12-17
42,42,1.4103263893958376e-07,2010-12-27,2010-12-20
43,43,4.116388803878816e-07,2010-12-28,2010-12-21
44,44,4.0313913481869846e-07,2010-12-29,2010-12-22
45,45,5.064907651069773e-07,2010-12-30,2010-12-23
46,46,3.4781664027068117e-07,2010-12-31,2010-12-24
47,47,4.7658702865297667e-07,2011-01-03,2010-12-27
48,48,6.080420081024861e-07,2011-01-04,2010-12-28
49,49,3.75007721074835e-07,2011-01-05,2010-12-29
50,50,6.736028952146802e-07,2011-01-06,2010-12-30
51,51,4.1753535660033503e-07,2011-01-07,2010-12-31
52,52,3.9983974806828314e-07,2011-01-10,2011-01-03
53,53,1.3099613362322453e-07,2011-01-11,2011-01-04
54,54,2.1492563905975282e-07,2011-01-12,2011-01-05
55,55,4.0205303788095247e-07,2011-01-13,2011-01-06
56,56,2.409237167058562e-07,2011-01-14,2011-01-07
57,57,3.4664440774673237e-07,2011-01-17,2011-01-10
58,58,4.402749760519731e-07,2011-01-18,2011-01-11
59,59,1.6917195854981608e-07,2011-01-19,2011-01-12
60,60,3.274491787815752e-07,2011-01-20,2011-01-13
61,61,1.9386916280526473e-07,2011-01-21,2011-01-14
62,62,2.808269560685489e-07,2011-01-24,2011-01-17
63,63,2.301927506018032e-07,2011-01-25,2011-01-18
64,64,1.439885196483775e-07,2011-01-26,2011-01-19
65,65,3.958370160394021e-07,2011-01-27,2011-01-20
66,66,2.589679921718133e-07,2011-01-28,2011-01-21
67,67,5.305539449823996e-07,2011-02-08,2011-01-24
68,68,5.271493829372696e-07,2011-02-09,2011-01-25
69,69,1.3224679766469916e-07,2011-02-10,2011-01-26
70,70,4.857786532529702e-07,2011-02-11,2011-01-27
71,71,3.243269533386986e-07,2011-02-14,2011-01-28
72,72,4.918449379257413e-07,2011-02-15,2011-02-08
73,73,3.1580161759872047e-07,2011-02-16,2011-02-09
74,74,4.763632522117231e-07,2011-02-17,2011-02-10
75,75,2.498408704155416e-07,2011-02-18,2011-02-11
76,76,2.8726791442897545e-07,2011-02-21,2011-02-14
77,77,4.776540594571026e-07,2011-02-22,2011-02-15
78,78,3.7148607943608895e-07,2011-02-23,2011-02-16
79,79,2.4676161137401723e-07,2011-02-24,2011-02-17
80,80,1.7471878330150008e-07,2011-02-25,2011-02-18
81,81,2.591361228699139e-07,2011-03-01,2011-02-21
82,82,2.5170332492606684e-07,2011-03-02,2011-02-22
83,83,3.87705776511574e-07,2011-03-03,2011-02-23
84,84,4.3248500199959703e-07,2011-03-04,2011-02-24
85,85,2.803396229584372e-07,2011-03-07,2011-02-25
86,86,2.2700843389285846e-07,2011-03-08,2011-03-01
87,87,4.0751001244449496e-07,2011-03-09,2011-03-02
88,88,4.470915554107843e-07,2011-03-10,2011-03-03
89,89,2.2901380367471422e-07,2011-03-11,2011-03-04
90,90,3.9892290999527556e-07,2011-03-14,2011-03-07
91,91,1.6360794909409193e-07,2011-03-15,2011-03-08
92,92,1.440291495216085e-07,2011-03-16,2011-03-09
93,93,3.5016743930713043e-07,2011-03-17,2011-03-10
94,94,2.3123229006315836e-07,2011-03-18,2011-03-11
95,95,5.0111308663895534e-08,2011-03-21,2011-03-14
96,96,2.0081485444639474e-07,2011-03-22,2011-03-15
97,97,1.4950840792665353e-07,2011-03-23,2011-03-16
98,98,1.776866773846431e-07,2011-03-24,2011-03-17
99,99,8.933212589039378e-08,2011-03-25,2011-03-18
100,100,1.3744058892549393e-07,2011-03-28,2011-03-21
101,101,1.2197251002337837e-07,2011-03-29,2011-03-22
102,102,6.308973707497711e-08,2011-03-30,2011-03-23
103,103,1.8807362592387208e-07,2011-03-31,2011-03-24
104,104,1.598829169862292e-07,2011-04-01,2011-03-25
105,105,7.646085484211403e-08,2011-04-06,2011-03-28
106,106,6.934613602954937e-08,2011-04-07,2011-03-29
107,107,2.4175534062954755e-07,2011-04-08,2011-03-30
108,108,1.8067738010930635e-07,2011-04-11,2011-03-31
109,109,2.65027573915997e-07,2011-04-12,2011-04-01
110,110,1.4455914737861636e-07,2011-04-13,2011-04-06
111,111,2.855254481260172e-07,2011-04-14,2011-04-07
112,112,6.831554292553887e-08,2011-04-15,2011-04-08
113,113,1.5004177610954105e-07,2011-04-18,2011-04-11
114,114,2.104971215950095e-07,2011-04-19,2011-04-12
115,115,8.737505373192832e-08,2011-04-20,2011-04-13
116,116,1.2606416491455727e-07,2011-04-21,2011-04-14
117,117,1.7290906743272188e-07,2011-04-22,2011-04-15
118,118,7.148805204955066e-08,2011-04-25,2011-04-18
119,119,9.585782876981604e-08,2011-04-26,2011-04-19
120,120,2.848966673744893e-07,2011-04-27,2011-04-20
121,121,1.7432510853545025e-07,2011-04-28,2011-04-21
122,122,8.571721078707988e-08,2011-04-29,2011-04-22
123,123,2.252655097105632e-07,2011-05-03,2011-04-25
124,124,2.4674690878393287e-07,2011-05-04,2011-04-26
125,125,7.99008995120972e-08,2011-05-05,2011-04-27
126,126,4.291240467236866e-08,2011-05-06,2011-04-28
127,127,1.62117260468435e-07,2011-05-09,2011-04-29
128,128,5.758165399422238e-08,2011-05-10,2011-05-03
129,129,2.3171790354743231e-07,2011-05-11,2011-05-04
130,130,1.0941358932406248e-07,2011-05-12,2011-05-05
131,131,1.9782805076305345e-07,2011-05-13,2011-05-06
132,132,2.3950772099047945e-07,2011-05-16,2011-05-09
