Feature1,Feature2,Feature3,Cluster
-0.5568683,-0.04917495,0.270523,2
-0.5611565,-0.046581328,0.27096963,2
-0.5664699,-0.042481303,0.27648696,2
-0.570655,-0.039774656,0.27849892,2
-0.56534433,-0.033562973,0.28199142,2
-0.5670886,-0.040701047,0.28913718,2
-0.566787,-0.043212235,0.29176626,2
-0.576983,-0.04411277,0.2985532,2
-0.5767707,-0.056017503,0.302494,2
-0.57982665,-0.070559785,0.2921693,2
-0.5861813,-0.07950841,0.29110005,2
-0.5749334,-0.089334205,0.3040873,2
-0.563371,-0.09251279,0.30656442,2
-0.5626878,-0.10840666,0.30597052,2
-0.5687154,-0.12054847,0.30577898,2
-0.57133526,-0.12518257,0.30240119,2
-0.57788795,-0.12991542,0.28768602,2
-0.5792352,-0.13534169,0.26377398,2
-0.588939,-0.13578312,0.25082016,2
-0.59757584,-0.12582012,0.25289944,2
-0.6099928,-0.12259664,0.24679634,2
-0.61226016,-0.11170487,0.25696096,2
-0.60566705,-0.10166223,0.2778419,2
-0.57669777,-0.097266,0.2910627,2
-0.5419159,-0.094045594,0.30766118,2
-0.50863403,-0.09308533,0.32662663,2
-0.47021365,-0.07405338,0.35677794,2
-0.441468,-0.07775743,0.364129,2
-0.45176077,-0.08314189,0.3191419,2
-0.46248192,-0.08914332,0.27930003,2
-0.48377305,-0.10105915,0.22104073,2
-0.51314706,-0.11597109,0.16170849,2
-0.54923683,-0.114389256,0.12533475,2
-0.5727726,-0.09870756,0.12604335,2
-0.57949173,-0.07220572,0.14529522,2
-0.5361256,-0.04869522,0.18867496,2
-0.48716825,-0.030446455,0.26780215,2
-0.43893582,-0.01762271,0.3369344,2
-0.37674016,-0.023758158,0.36501607,2
-0.3175406,-0.0060781315,0.3979959,2
-0.23758219,0.006301604,0.41461107,2
-0.11236962,0.03853622,0.45897284,2
-0.03332889,0.054512367,0.43350923,2
-0.014334992,0.027114637,0.3308978,2
-0.047368795,-0.015347339,0.2286362,2
-0.11867042,-0.021760747,0.1460006,2
-0.22247536,-0.14842601,-0.036641918,2
-0.2406836,-0.19684753,-0.18507123,2
-0.28790587,-0.1309169,-0.24332911,2
-0.31578934,-0.043476764,-0.2095089,2
-0.28668016,0.08986141,-0.09505165,2
-0.20999873,0.16304128,0.1175429,2
-0.11285848,0.22898655,0.22433555,2
-0.012033999,0.21939655,0.27705157,2
0.06948289,0.19037981,0.2779317,2
0.07094987,0.113985375,0.20873886,2
0.028265715,0.05689819,0.11751354,2
-0.07041886,-0.008186609,-0.016037926,2
-0.19715743,-0.09803592,-0.229666,2
-0.3156088,-0.15528554,-0.42666036,2
-0.47293544,-0.15196493,-0.538521,2
-0.5727611,-0.08776055,-0.5734907,2
-0.6513431,0.013786346,-0.47716326,2
-0.7274247,0.120490864,-0.32405126,2
-0.71779513,0.2273172,-0.1506607,2
-0.72500354,0.24102549,0.009265281,2
-0.6893535,0.2344654,0.13786426,0
-0.641906,0.20715098,0.20524868,0
-0.6053744,0.16799004,0.23069617,0
-0.58787614,0.12567791,0.21047324,2
-0.5878826,0.093152314,0.15325135,2
-0.61069256,0.059946135,0.0938067,2
-0.6504981,0.04002595,0.045646347,2
-0.6814534,0.040740684,0.002454318,2
-0.6992851,0.06451152,0.008169286,2
-0.7055721,0.10286753,0.023808964,2
-0.7090735,0.14234282,0.0745506,2
-0.69735926,0.16837738,0.14827968,0
-0.6731757,0.16400738,0.19451076,0
-0.653854,0.14381354,0.20908985,0
-0.621831,0.13554116,0.21586397,0
-0.6012745,0.114415035,0.19503817,2
-0.5786259,0.10770935,0.1717007,2
-0.5875435,0.10430704,0.13336053,2
-0.6026705,0.09565885,0.10164081,2
-0.6356124,0.0796767,0.051161416,2
-0.6780673,0.07728723,0.010687076,2
-0.7138406,0.074157774,-0.011923268,2
-0.74025047,0.090288356,-0.0075936094,2
-0.77312225,0.11603324,0.007042952,2
-0.79061174,0.1580304,0.06509784,0
-0.8028722,0.17865948,0.11732078,0
-0.79402846,0.18558584,0.18235876,0
-0.7822853,0.18625341,0.22744903,0
-0.78076917,0.17511131,0.24712053,0
-0.79814583,0.16413327,0.24850118,0
