start_date,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63
2024-12-03,0.0018564094,-0.65634876,0.023996618,-0.0012921967,0.004013625,-0.6358794,0.39767164,0.45773524,0.03868528,0.6780681,0.02045995,0.51117134,-0.01310531,0.61662996,0.24209279,0.66675013,0.28831315,0.009971843,-0.33286577,-0.002652647,0.2923131,0.15228836,0.6869933,-0.027099514,-0.13162793,0.00958214,0.39147532,-0.47998628,-0.41588402,-0.5124709,-0.14592654,0.5022981,-0.003793975,0.058049448,0.21359792,0.5062908,-0.6497497,-0.53584796,-0.6850597,-0.09371509,0.13034661,0.37817433,0.12635885,0.18121184,0.57429105,-0.2759633,0.0057872045,-0.008597114,0.34306076,-0.5839623,0.73314214,-0.27458695,0.08554032,-0.6380159,-0.3724566,-0.018083815,0.13681343,0.29962844,-0.24317661,0.255923,0.29553497,0.50554687,0.58960634,0.030693566
2024-12-04,0.0018311809,-0.65669876,0.024061508,-0.0013163363,0.0040459936,-0.6355446,0.39831814,0.45915535,0.038686745,0.67794454,0.020879539,0.51136374,-0.012653164,0.61636615,0.2432814,0.66697896,0.28872094,0.010234481,-0.33357233,-0.0026010042,0.2916245,0.15299068,0.68760693,-0.026994497,-0.13093428,0.009671766,0.39156413,-0.47942933,-0.41595072,-0.513811,-0.14496624,0.50291204,-0.003827072,0.058265794,0.21408354,0.50725085,-0.65057766,-0.5378423,-0.6860495,-0.09580843,0.1307907,0.37882245,0.12663378,0.1821649,0.57502246,-0.27636784,0.00578371,-0.008664972,0.3437632,-0.58480847,0.73393744,-0.2742932,0.08531793,-0.63839793,-0.3740166,-0.018110547,0.13681698,0.3003016,-0.2453911,0.25648478,0.29578325,0.50614685,0.5895997,0.030650172
2024-12-05,0.0018031094,-0.6568461,0.02403436,-0.0012752541,0.004043327,-0.6350598,0.3990339,0.45905486,0.038598165,0.6782369,0.020989358,0.5105805,-0.013438083,0.61638093,0.24380359,0.66699165,0.288508,0.010167307,-0.3329368,-0.0026130164,0.29221562,0.15205279,0.6867771,-0.027056588,-0.13159716,0.009685909,0.3928756,-0.47962013,-0.41556835,-0.5124646,-0.14522193,0.5014503,-0.0032563934,0.057494108,0.21368292,0.50766623,-0.6516217,-0.5360886,-0.6857272,-0.09366431,0.13072598,0.3763207,0.12579657,0.18203337,0.5758394,-0.27594873,0.0058228453,-0.008704469,0.34353602,-0.58455664,0.73240924,-0.27365392,0.08566827,-0.64016217,-0.37371397,-0.018133685,0.1354914,0.30094898,-0.243079,0.2556448,0.29592824,0.5057113,0.59057087,0.030505788
2024-12-06,0.0017964464,-0.6562641,0.024417104,-0.0013443,0.004076677,-0.6360248,0.3999401,0.4622556,0.038862597,0.6778613,0.02160566,0.5132197,-0.0127737885,0.61660045,0.2450249,0.6683022,0.2904503,0.010694427,-0.3342466,-0.0025655716,0.29163405,0.15382814,0.6888955,-0.02693858,-0.13044783,0.009682468,0.39094612,-0.47837403,-0.41697118,-0.51556456,-0.14456534,0.5059982,-0.003491631,0.058327835,0.21645431,0.50976455,-0.65185994,-0.5409079,-0.68759674,-0.09796901,0.13191344,0.37994587,0.12730944,0.18376106,0.5764011,-0.2769738,0.005805415,-0.008749195,0.34542537,-0.58508307,0.7362543,-0.27433905,0.08448729,-0.6388204,-0.37661442,-0.01826597,0.13682812,0.3014352,-0.24859075,0.2572816,0.295763,0.5078965,0.5889176,0.030546248
2024-12-09,0.0017376224,-0.65632117,0.024351824,-0.0013546245,0.0040616817,-0.6357903,0.40026706,0.4635155,0.038889356,0.6775801,0.022190554,0.51354116,-0.012166057,0.61596704,0.24651381,0.6681767,0.2910545,0.011065863,-0.33484346,-0.0024355073,0.29077145,0.15410082,0.6893191,-0.026697684,-0.12954049,0.0097106425,0.38979125,-0.47752005,-0.4166074,-0.51589096,-0.14335498,0.5063488,-0.003022074,0.057639416,0.21672104,0.5101217,-0.6527628,-0.54243815,-0.6879033,-0.099092096,0.1323471,0.37969843,0.1271095,0.18412262,0.5768663,-0.27592757,0.0058057564,-0.008773677,0.34580362,-0.5853445,0.7372781,-0.2734972,0.08359272,-0.6392185,-0.37782443,-0.01819169,0.13624203,0.3025116,-0.25045186,0.25745207,0.29583502,0.50869083,0.5880627,0.030342655
2024-12-10,0.00171539,-0.65594053,0.024580134,-0.0012667506,0.004061541,-0.63533527,0.40213487,0.46425164,0.038851794,0.6785957,0.022047108,0.5130197,-0.014420459,0.6171417,0.24721235,0.66938287,0.29076865,0.010651722,-0.33257318,-0.0024757967,0.29333204,0.15191375,0.68770826,-0.026944142,-0.13124289,0.00969285,0.39307433,-0.47808468,-0.41599047,-0.51352876,-0.14453,0.5044077,-0.0024905177,0.056627505,0.21571238,0.51160204,-0.65479296,-0.5384894,-0.6877389,-0.09411813,0.13210683,0.3748057,0.1253346,0.18403898,0.57871854,-0.27636567,0.005871388,-0.008832704,0.345783,-0.58377576,0.73416525,-0.272928,0.08440482,-0.6421271,-0.37692592,-0.018307107,0.13390768,0.30320394,-0.2447213,0.25513208,0.29571974,0.50776774,0.5902448,0.030065848
2024-12-11,0.001729349,-0.6566171,0.024508512,-0.0013659842,0.004029884,-0.6367332,0.40038875,0.46672744,0.038843535,0.67700833,0.022813352,0.5149657,-0.012607787,0.61632055,0.2469537,0.6696562,0.29319632,0.011247824,-0.33527005,-0.0023181667,0.2907223,0.1542737,0.6902045,-0.026511336,-0.12952034,0.009780886,0.3884515,-0.47797897,-0.41788685,-0.5173101,-0.14251627,0.5093616,-0.002311019,0.057939768,0.21815355,0.5113784,-0.6533717,-0.54400766,-0.6881018,-0.1001201,0.13265578,0.381586,0.12768604,0.18400922,0.57666844,-0.27625704,0.0057180324,-0.008728717,0.34603822,-0.5843305,0.73909354,-0.273773,0.08282058,-0.63839746,-0.37799424,-0.018169846,0.13671489,0.30277288,-0.25229418,0.25817695,0.29630482,0.5106801,0.58804554,0.030153684
2024-12-12,0.0016646594,-0.6563743,0.024471374,-0.0013011633,0.0040193377,-0.6359587,0.4012086,0.46647894,0.038748246,0.6783093,0.022902692,0.51427084,-0.013947795,0.6162847,0.24812531,0.66981065,0.29272866,0.0111663155,-0.33395943,-0.002401488,0.29162103,0.15279794,0.6887237,-0.026660593,-0.13068056,0.0097897835,0.39110214,-0.47756273,-0.4166549,-0.51555145,-0.14302865,0.5068701,-0.0018770463,0.056673188,0.21707404,0.5118757,-0.65517914,-0.5417317,-0.68779707,-0.09645434,0.13219652,0.37680402,0.12608021,0.18362844,0.5787171,-0.27524695,0.005789743,-0.0088244295,0.34602177,-0.58363914,0.7362585,-0.27322233,0.08305443,-0.64131236,-0.3778324,-0.018215144,0.13446505,0.30403483,-0.24801672,0.25616327,0.29533678,0.50975245,0.58996165,0.029820869
2024-12-13,0.0016886242,-0.65686417,0.02434019,-0.0012903606,0.004005455,-0.6362232,0.40060332,0.4667885,0.03855789,0.67805314,0.023085164,0.51426697,-0.014389261,0.6162995,0.24733742,0.6703211,0.29352233,0.011129886,-0.33418614,-0.002438329,0.2912471,0.15264304,0.6887043,-0.026633123,-0.13127291,0.009822236,0.39071566,-0.4782922,-0.41738516,-0.515713,-0.14302626,0.5071432,-0.0012254398,0.056771453,0.21770225,0.5118266,-0.6548015,-0.5414311,-0.6873892,-0.096155524,0.13197678,0.37729803,0.12647124,0.18279205,0.57826984,-0.2748942,0.005751734,-0.008797236,0.3451505,-0.5831525,0.73623616,-0.27363613,0.082964055,-0.6410398,-0.37681547,-0.018190674,0.13480452,0.30369487,-0.24782544,0.25656244,0.29597202,0.5101219,0.5903576,0.029798431
2024-12-16,0.0017196317,-0.6564158,0.024173088,-0.0012304394,0.0040012435,-0.63584226,0.40073177,0.46534625,0.038366027,0.67877126,0.022745969,0.51331365,-0.015751578,0.61694294,0.24621822,0.6707615,0.29264164,0.010669569,-0.33245113,-0.0025666268,0.29214773,0.15110548,0.68740857,-0.026846334,-0.13268475,0.009735391,0.3925382,-0.47862297,-0.41685405,-0.51371646,-0.14417785,0.50490916,-0.0009995793,0.05619464,0.21681325,0.51184404,-0.654968,-0.5381183,-0.6867234,-0.09226962,0.13122797,0.37405077,0.12552907,0.18157035,0.5787338,-0.2742335,0.0057883235,-0.008775476,0.3438044,-0.5818695,0.73344326,-0.27371246,0.08353134,-0.6426425,-0.37454924,-0.018221125,0.13379602,0.30334145,-0.24353291,0.25506505,0.29577336,0.50864685,0.59187824,0.029766835
2024-12-17,0.0017566463,-0.6561527,0.023775738,-0.0012933091,0.0040158005,-0.6367192,0.39956808,0.46541807,0.038467318,0.67801565,0.022949716,0.5152499,-0.0142748,0.6166469,0.24545324,0.6710833,0.29426888,0.011045639,-0.33433583,-0.0026358028,0.28966135,0.15306221,0.6893247,-0.026777847,-0.13161401,0.009627005,0.38915786,-0.4774911,-0.41797116,-0.51625896,-0.14378367,0.5066202,-0.001404766,0.056818075,0.21887556,0.5113153,-0.6527697,-0.5429057,-0.6873073,-0.09689714,0.13177833,0.37780866,0.12764715,0.18147647,0.5779005,-0.2729407,0.005768204,-0.008775181,0.34320337,-0.5827416,0.7366223,-0.27493745,0.082145356,-0.6404236,-0.3748663,-0.018198054,0.1360608,0.30273217,-0.24889714,0.25742114,0.2962227,0.5098929,0.5898287,0.02996655
