日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,SMA_5,SMA_20,SMA_60,SMA_50,SMA_200,EMA_5,EMA_20,RSI,MACD,MACD_signal,MACD_hist,Support_Level,Resistance_Level
2024-07-23,"53,439,290","51,686,291,065",963.0,979.0,956.0,979.0,+40.00,"96,981",984.6,1003.05,,,,983.5403612851253,991.1070401649843,49.44020592314185,19.70004040568324,35.72448556740622,-16.02444516172298,1003.05,1003.05
2024-07-26,"95,625,050","88,299,582,909",915.0,930.0,915.0,924.0,-55.00,"357,707",963.4,1001.25,,,,963.6935741900836,984.7158934826048,40.44821924853563,12.292229132248053,31.03803428037459,-18.745805148126536,1001.25,1001.25
2024-07-29,"44,000,914","41,481,319,942",942.0,948.0,936.0,944.0,+20.00,"78,605",951.2,1000.45,,,,957.1290494600557,980.8381893414044,44.4077321669133,7.943747603120755,26.419176944923823,-18.475429341803068,1000.45,1000.45
2024-07-30,"45,996,400","42,988,422,577",930.0,949.0,926.0,940.0,-4.00,"86,139",945.2,999.15,,,,951.419366306704,976.9488379755563,43.780764660682934,4.127202272857289,21.960782010510517,-17.833579737653228,999.15,999.15
2024-07-31,"47,407,263","44,270,020,990",929.0,940.0,928.0,934.0,-6.00,"62,829",944.2,997.45,,,,945.6129108711361,972.8584724540748,42.80453463607568,0.6113653072907255,17.69089866986656,-17.079533362575834,997.45,997.45
2024-08-01,"50,257,642","48,211,390,158",969.0,969.0,948.0,960.0,+26.00,"66,845",940.4,997.45,,,,950.4086072474241,971.6338560298772,48.19523628393259,-0.07610086581462383,14.137498762730322,-14.213599628544946,997.45,997.45
2024-08-02,"89,044,852","81,488,499,047",918.0,928.0,903.0,903.0,-57.00,"451,562",936.2,993.65,,,,934.6057381649495,965.097298312746,39.422847361393416,-5.160855265076066,10.277827957169045,-15.43868322224511,993.65,993.65
2024-08-05,"159,662,795","133,482,646,539",852.0,857.0,813.0,815.0,-88.00,"588,373",910.4,984.15,,,,894.737158776633,950.8023175210559,30.264133224978934,-16.105767056348327,5.001108954465571,-21.1068760108139,984.15,984.15
2024-08-06,"108,521,787","94,271,532,567",868.0,895.0,840.0,880.0,+65.00,"189,677",898.4,977.9,,,,889.8247725177555,944.0592396619078,41.14123154261762,-19.312113706987816,0.1384644221748932,-19.450578129162707,977.9,977.9
2024-08-07,"62,643,163","56,900,026,373",901.0,920.0,893.0,920.0,+40.00,"109,333",895.6,972.15,,,,899.8831816785037,941.7678835036309,46.655383915155625,-18.413244402423516,-3.5718773427447887,-14.841367059678728,972.15,972.15
