日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,SMA_5,SMA_20,SMA_60,SMA_50,SMA_200,EMA_5,EMA_20,RSI,MACD,MACD_signal,MACD_hist,Support_Level,Resistance_Level,returns,volatility
2021-08-03,"24,697,233","2,753,719,080",112.5,113.0,110.5,111.5,-1.50,"10,293",111.2,113.65,111.36166666666666,112.6,105.265,111.5129045902199,112.54445363443918,46.82093876352244,-0.5968582350517693,-0.2416192578833714,-0.3552389771683978,105.265,113.65,-0.013274336283185861,0.016572236818198954
2021-08-04,"21,287,183","2,383,267,724",112.0,112.5,111.0,112.0,+0.50,"8,393",111.5,113.5,111.445,112.6,105.435,111.67526972681328,112.49260090734974,48.20569928121843,-0.5589202422349899,-0.3050794547536951,-0.2538407874812948,105.435,113.5,0.004484304932735439,0.015811894084203887
2021-08-05,"20,014,604","2,231,990,278",111.0,112.0,111.0,112.0, 0.00,"9,708",111.7,113.325,111.61166666666666,112.61,105.6015,111.78351315120884,112.4456865352212,48.20569928121843,-0.5228272821394171,-0.3486290202308395,-0.1741982619085775,105.6015,113.325,0.0,0.01561462317522101
2021-08-06,"41,391,590","4,644,148,106",111.5,113.0,111.0,112.5,+0.50,"16,500",112.2,113.25,111.77,112.67,105.7695,112.02234210080591,112.4508592461525,49.72402135428533,-0.448705136399127,-0.368644243464497,-0.0800608929346299,105.7695,113.25,0.0044642857142858094,0.015637651688473832
2021-08-09,"23,280,701","2,603,188,402",112.0,112.5,111.0,112.0,-0.50,"8,483",112.0,113.1,111.895,112.69,105.9395,112.01489473387062,112.40792027032846,48.20230257675152,-0.4254048212305292,-0.3799963590177034,-0.0454084622128257,105.9395,113.1,-0.004444444444444473,0.015461902333681936
2021-08-10,"43,432,544","4,759,075,067",111.5,112.0,108.5,108.5,-3.50,"27,993",111.4,112.7,112.06666666666666,112.59,106.0915,110.84326315591376,112.03573738744004,39.16651844105009,-0.6815039495602093,-0.4402978771262046,-0.2412060724340046,106.0915,112.7,-0.03125,0.01649818148277023
2021-08-11,"49,868,351","5,366,409,027",107.0,109.0,106.0,109.0,+0.50,"21,961",110.8,112.35,112.1,112.48,106.2435,110.2288421039425,111.74661954101718,40.87173614593036,-0.834498948114117,-0.5191380913237872,-0.3153608567903297,106.2435,112.48,0.004608294930875667,0.016499560777872353
2021-08-12,"18,592,236","2,027,562,903",109.0,109.5,108.0,109.0, 0.00,"8,730",110.2,111.825,112.16666666666669,112.42,106.382,109.819228069295,111.48503672758696,40.87173614593036,-0.9448568649513476,-0.6042818460492994,-0.3405750189020482,106.382,112.42,0.0,0.016499560777872353
2021-08-13,"46,681,998","5,097,311,545",109.5,110.0,108.0,109.0, 0.00,"17,924",109.5,111.3,112.21666666666668,112.38,106.52,109.54615204619668,111.24836656305489,40.87173614593035,-1.0205520207075691,-0.6875358809809533,-0.333016139726616,106.52,112.38,0.0,0.016485257968636268
2021-08-16,"35,027,999","3,762,459,490",108.5,109.0,106.5,107.5,-1.50,"16,454",108.6,110.85,112.18333333333334,112.29,106.65550000000002,108.86410136413112,110.89137927133535,36.986999623594414,-1.187885239368896,-0.7876057526585418,-0.400279486710354,106.65550000000002,112.29,-0.013761467889908285,0.013678263766750496
2021-08-17,"26,076,961","2,788,145,927",107.5,108.0,106.0,106.5,-1.00,"12,893",108.2,110.45,112.13333333333334,112.21,106.784,108.07606757608742,110.47315267406532,34.624277607743,-1.38522169000818,-0.9071289401284696,-0.4780927498797105,106.784,112.21,-0.009302325581395321,0.013728573972874058
2021-08-18,"36,974,897","3,912,990,840",105.5,107.5,104.5,107.0,+0.50,"16,564",107.8,110.175,112.05,112.14,106.9155,107.71737838405828,110.14237622891623,36.79821753816168,-1.4841579782297458,-1.0225347477487248,-0.461623230481021,106.9155,112.14,0.0046948356807512415,0.013662783032570801
2021-08-19,"52,199,317","5,427,105,069",106.0,106.0,102.5,103.0,-4.00,"31,835",106.6,109.8,111.90833333333332,112.01,107.0295,106.14491892270551,109.4621499214004,28.603633492011586,-1.8638470020132587,-1.1907971986016317,-0.673049803411627,107.0295,112.01,-0.03738317757009346,0.015018612320599587
2021-08-20,"30,552,525","3,181,870,656",104.0,106.0,102.0,104.5,+1.50,"14,626",105.7,109.5,111.825,111.89,107.152,105.59661261513702,108.98956421460036,34.49468253459404,-2.0204256160657224,-1.35672288209445,-0.6637027339712724,107.152,111.89,0.014563106796116498,0.015271417410239178
2021-08-23,"24,065,630","2,572,410,231",105.5,108.0,105.5,107.5,+3.00,"10,503",105.7,109.375,111.76666666666668,111.77,107.29800000000002,106.23107507675802,108.847700956067,44.37945055679037,-1.8807601357243016,-1.4615303328204203,-0.4192298029038812,107.29800000000002,111.77,0.028708133971291794,0.016197271860594893
2021-08-24,"18,000,797","1,953,125,584",108.5,109.0,107.5,109.0,+1.50,"9,365",106.2,109.25,111.69166666666666,111.69,107.45300000000002,107.15405005117202,108.86220562691776,48.559218505847504,-1.630244330491294,-1.4952731323545951,-0.134971198136699,107.45300000000002,111.69,0.013953488372093092,0.016227469722258428
2021-08-25,"14,477,188","1,568,051,183",109.0,109.0,107.5,108.5,-0.50,"7,852",106.5,109.15,111.59166666666668,111.63,107.608,107.60270003411468,108.82770985292558,47.28368565880937,-1.455279020630769,-1.48727431000983,0.0319952893790609,107.608,111.63,-0.004587155963302725,0.01622894209964585
2021-08-26,"13,135,805","1,414,850,208",108.5,109.0,107.0,107.5,-1.00,"7,699",107.4,108.975,111.51666666666668,111.52,107.754,107.5684666894098,108.7012612955041,44.7517941707799,-1.3813856408753225,-1.4660965761829283,0.0847109353076061,107.754,111.52,-0.009216589861751112,0.015080882675631672
2021-08-27,"13,875,837","1,495,362,654",107.5,108.5,106.5,108.0,+0.50,"6,260",108.1,108.875,111.46666666666668,111.45,107.9025,107.7123111262732,108.6344745054561,46.30011796031439,-1.2678636408860058,-1.426449989123544,0.1585863482375382,107.9025,111.45,0.0046511627906977715,0.015140946589339541
2021-08-30,"14,000,606","1,515,530,387",108.5,109.0,107.5,109.0,+1.00,"7,629",108.4,108.675,111.41666666666669,111.46,108.0535,108.1415407508488,108.66928645731744,49.35699356763418,-1.0847012347304172,-1.3581002382449188,0.2733990035145015,108.0535,111.46,0.0092592592592593,0.014725185468480574
2021-08-31,"30,641,222","3,368,752,300",108.5,111.0,108.0,111.0,+2.00,"10,640",108.8,108.65,111.425,111.51,108.2135,109.09436050056588,108.89125917566814,54.88807977430465,-0.7692924978879461,-1.2403386901735245,0.4710461922855784,108.2135,111.51,0.0183486238532109,0.014899569482018102
2021-09-01,"22,374,844","2,481,606,824",111.0,112.0,110.0,111.0, 0.00,"11,694",109.3,108.6,111.43333333333334,111.5,108.37,109.72957366704394,109.09209163512833,54.88807977430466,-0.5134105246023921,-1.094953057059298,0.5815425324569059,108.37,111.5,0.0,0.014568521564177449
2021-09-02,"29,727,679","3,315,302,873",111.0,113.0,110.5,111.5,+0.50,"14,134",110.1,108.575,111.46666666666668,111.47,108.5215,110.31971577802928,109.32141624130657,56.27276895937474,-0.2671963230299354,-0.9294017102534256,0.6622053872234901,108.5215,111.47,0.0045045045045044585,0.014212730442412657
2021-09-03,"24,501,274","2,747,764,310",112.0,113.0,111.5,112.5,+1.00,"12,699",111.0,108.575,111.5,111.46,108.68,111.04647718535288,109.62413850403928,58.98436566886972,0.0085235935642202,-0.7418166494898965,0.7503402430541167,108.575,111.46,0.008968609865470878,0.014298128745237783
2021-09-06,"18,445,528","2,059,630,802",112.5,113.0,110.5,111.0,-1.50,"11,402",111.4,108.525,111.45833333333331,111.45,108.827,111.03098479023524,109.755172932226,53.61373680618792,0.1047882166101885,-0.5724956762698794,0.677283892880068,108.525,111.45,-0.013333333333333308,0.01449810945898127
2021-09-07,"23,359,117","2,542,208,391",109.5,110.0,108.0,108.5,-2.50,"14,579",110.9,108.525,111.38333333333334,111.39,108.96,110.1873231934902,109.63563265296638,46.082628340981735,-0.0204151495687199,-0.4620795709296475,0.4416644213609276,108.525,111.39,-0.022522522522522515,0.014858631564890647
2021-09-08,"28,705,746","3,100,212,882",108.5,109.5,107.0,107.5,-1.00,"15,013",110.2,108.45,111.31666666666666,111.3,109.0905,109.29154879566012,109.4322390669696,43.45326894122155,-0.1980483834744859,-0.4092733334386152,0.2112249499641292,108.45,111.3,-0.009216589861751112,0.014863399855405201
2021-09-09,"20,446,876","2,187,406,741",106.5,107.5,106.0,107.0,-0.50,"9,228",109.3,108.35,111.21666666666668,111.2,109.2125,108.52769919710676,109.20059725106772,42.15803632319254,-0.3748487988311524,-0.4023884265171227,0.0275396276859702,108.35,111.2,-0.0046511627906976605,0.014844236172307922
2021-09-10,"13,324,559","1,435,914,081",107.0,108.5,107.0,108.0,+1.00,"7,687",108.4,108.3,111.15833333333332,111.13,109.3375,108.35179946473784,109.08625465572794,45.64750635020612,-0.4293237818162225,-0.4077754975769427,-0.0215482842392798,108.3,111.13,0.009345794392523255,0.014885884755327572
2021-09-13,"15,455,264","1,652,913,445",107.5,108.0,106.5,106.5,-1.50,"9,602",107.5,108.25,111.125,110.92,109.454,107.7345329764919,108.83994468851576,41.59406619964793,-0.5867691527382277,-0.4435742286091997,-0.143194924129028,108.25,110.92,-0.01388888888888884,0.014114361907582348
2021-09-14,"19,260,856","2,066,358,163",107.5,108.0,106.5,107.5,+1.00,"8,249",107.3,108.3,111.10833333333332,110.74,109.577,107.65635531766128,108.71233090865712,45.09445539966098,-0.6236648803524787,-0.4795923589578555,-0.1440725213946231,108.3,110.74,0.009389671361502261,0.014089747900812187
