日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,SMA_5,SMA_20,SMA_60,SMA_50,SMA_200,EMA_5,EMA_20,RSI,MACD,MACD_signal,MACD_hist,Support_Level,Resistance_Level
2024-12-03,"52,170,125","10,312,565,933",198.5,200.0,196.5,196.5,+0.50,"47,992",196.0,206.3,198.14166666666668,202.77,175.6825,197.28359155686096,203.02564887158252,40.5662067380976,-2.642547660814813,-0.7968469227508774,-1.845700738063936,175.6825,206.3
2024-12-04,"50,379,504","10,055,268,944",197.5,201.5,197.0,201.0,+4.50,"32,459",196.9,205.675,198.5,203.26,176.1725,198.5223943712407,202.83272993143183,47.01781278696356,-2.432716434496569,-1.124020825100016,-1.3086956093965536,176.1725,205.675
2024-12-05,"46,475,440","9,319,676,695",203.0,203.5,199.0,199.0,-2.00,"47,064",197.6,204.775,198.9,203.7,176.6575,198.6815962474938,202.46770803320024,44.69560347680794,-2.4001396453925565,-1.379244589158524,-1.0208950562340324,176.6575,204.775
2024-12-06,"47,526,532","9,465,077,239",199.5,201.5,197.5,198.0,-1.00,"36,972",198.1,203.775,199.25833333333333,204.06,177.14,198.45439749832923,202.0422120300383,43.53773440659754,-2.4270365810473606,-1.5888029875362917,-0.8382335935110692,177.14,204.06
2024-12-09,"41,114,306","8,084,426,101",198.5,199.0,195.0,195.0,-3.00,"55,012",197.9,202.525,199.64166666666668,204.3,177.61,197.30293166555285,201.37152517003463,40.17525789822265,-2.659767381562688,-1.8029958663415708,-0.8567715152211168,177.61,204.3
2024-12-10,"58,994,150","11,375,383,210",193.0,195.0,192.0,192.0,-3.00,"73,633",197.0,201.425,200.025,204.37,178.0625,195.53528777703525,200.4789989633647,37.090370685837655,-3.051111827760593,-2.052619058625376,-0.9984927691352176,178.0625,204.37
2024-12-11,"66,246,732","12,596,425,979",190.0,194.0,189.0,189.0,-3.00,"86,964",194.6,200.15,200.35,204.36,178.4925,193.35685851802356,199.38576096685375,34.25753484492984,-3.562266458510948,-2.35454853860249,-1.2077179199084576,178.4925,204.36
2024-12-12,"50,634,757","9,624,979,364",190.5,193.0,188.5,188.5,-0.50,"51,432",192.5,199.0,200.53333333333333,204.31,178.9175,191.73790567868235,198.34902182715345,33.79426222099958,-3.962034144044594,-2.676045659690911,-1.285988484353683,178.9175,204.31
2024-12-13,"55,417,050","10,371,852,143",188.5,189.5,185.5,186.5,-2.00,"78,777",190.2,197.975,200.70833333333331,204.29,179.335,189.9919371191216,197.22054355790075,31.93398235840423,-4.389635217963615,-3.018763571345452,-1.3708716466181636,179.335,204.29
2024-12-16,"75,228,642","13,834,643,194",188.0,189.5,181.5,182.0,-4.50,"96,744",187.6,196.95,200.725,204.19,179.7275,187.3279580794144,195.7709679809578,28.175792951981844,-5.033600330373503,-3.4217309231510624,-1.6118694072224402,179.7275,204.19
