日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,SMA_5,SMA_20,SMA_60,SMA_50,SMA_200,EMA_5,EMA_20,RSI,MACD,MACD_signal,MACD_hist,Support_Level,Resistance_Level,股票代碼
2024-12-03,"52,170,125","10,312,565,933",198.5,200.0,196.5,196.5,0.5,"47,992",196.0,206.3,198.14166666666668,202.77,175.6825,197.28359155686096,203.0256488715825,40.5662067380976,-2.642547660814813,-0.7968469227508774,-1.845700738063936,175.6825,206.3,2317
2024-12-03,"48,632,084","51,509,603,939",1060.0,1065.0,1055.0,1055.0,+20.00,"55,988",1018.2,1036.3,1011.2833333333332,1029.78,902.025,1029.1219719635176,1029.703911359821,56.4534109761843,-2.8142667707907094,-2.276151089406837,-0.5381156813838723,902.025,1036.3,2330
2024-12-03,"6,211,010","8,141,226,882",1325.0,1330.0,1295.0,1315.0,+5.00,"7,911",1277.0,1276.5,1242.0833333333333,1265.5,1208.18,1290.2854352009406,1278.5284097862416,57.2582708955509,4.8665353249150485,2.7162589987465,2.1502763261685485,1208.18,1276.5,2454
2024-12-04,"50,379,504","10,055,268,944",197.5,201.5,197.0,201.0,4.5,"32,459",196.9,205.675,198.5,203.26,176.1725,198.5223943712407,202.83272993143183,47.01781278696356,-2.432716434496569,-1.124020825100016,-1.3086956093965536,176.1725,205.675,2317
2024-12-04,"35,431,584","37,738,286,825",1065.0,1070.0,1055.0,1070.0,+15.00,"45,553",1032.2,1036.8,1014.3,1031.98,904.235,1042.7479813090115,1033.541634087457,59.54293138674789,0.8261040867714655,-1.6557000541711766,2.481804140942642,904.235,1036.8,2330
2024-12-04,"4,844,752","6,364,952,020",1315.0,1325.0,1305.0,1320.0,+5.00,"6,345",1291.0,1277.25,1245.1666666666667,1269.5,1210.13,1300.1902901339604,1282.4780850446948,58.03426686238821,7.611887067186217,3.6953846124344434,3.9165024547517735,1210.13,1277.25,2454
2024-12-05,"46,475,440","9,319,676,695",203.0,203.5,199.0,199.0,-2.0,"47,064",197.6,204.775,198.9,203.7,176.6575,198.6815962474938,202.46770803320024,44.69560347680794,-2.4001396453925565,-1.379244589158524,-1.0208950562340324,176.6575,204.775,2317
2024-12-05,"41,293,183","44,420,331,699",1070.0,1080.0,1070.0,1075.0,+5.00,"51,311",1046.2,1037.3,1017.1833333333332,1034.02,906.435,1053.4986542060078,1037.4900498886516,60.54771493856705,4.067692603815885,-0.5110215225737642,4.57871412638965,906.435,1037.3,2330
2024-12-05,"5,559,581","7,367,160,465",1325.0,1335.0,1310.0,1325.0,+5.00,"10,447",1305.0,1278.25,1248.75,1273.5,1212.075,1308.4601934226405,1286.5277912309143,58.8390474220124,10.07491892147641,4.971291474242837,5.103627447233573,1212.075,1278.25,2454
2024-12-06,"47,526,532","9,465,077,239",199.5,201.5,197.5,198.0,-1.0,"36,972",198.1,203.775,199.25833333333333,204.06,177.14,198.45439749832923,202.0422120300383,43.53773440659754,-2.4270365810473606,-1.5888029875362917,-0.8382335935110692,177.14,204.06,2317
2024-12-06,"32,090,124","34,306,935,479",1075.0,1080.0,1060.0,1065.0,-10.00,"33,697",1060.0,1036.05,1019.6333333333332,1035.78,908.53,1057.3324361373386,1040.110045137351,57.473323944831264,5.763322437923989,0.7438472695257864,5.019475168398203,908.53,1036.05,2330
2024-12-06,"4,364,288","5,747,214,795",1325.0,1340.0,1300.0,1305.0,-20.00,"11,555",1315.0,1279.5,1251.4166666666667,1276.7,1213.915,1307.3067956150935,1288.2870492089223,54.34930589937589,10.294389246957508,6.035911028785771,4.258478218171737,1213.915,1279.5,2454
2024-12-09,"41,114,306","8,084,426,101",198.5,199.0,195.0,195.0,-3.0,"55,012",197.9,202.525,199.64166666666668,204.3,177.61,197.30293166555285,201.37152517003463,40.17525789822265,-2.659767381562688,-1.8029958663415708,-0.8567715152211168,177.61,204.3,2317
2024-12-09,"30,255,281","32,409,791,931",1070.0,1075.0,1065.0,1075.0,+10.00,"25,230",1068.0,1035.55,1022.5666666666668,1037.54,910.42,1063.221624091559,1043.4328979814131,59.6782084484438,7.823849260226098,2.159847667665849,5.664001592560249,910.42,1037.54,2330
2024-12-09,"4,592,126","6,045,281,525",1320.0,1325.0,1300.0,1325.0,+20.00,"5,865",1318.0,1281.0,1255.0833333333333,1279.3,1215.68,1313.2045304100625,1291.7835207128344,57.8157980920614,11.944465550431689,7.217621933114954,4.726843617316733,1215.68,1281.0,2454
2024-12-10,"58,994,150","11,375,383,210",193.0,195.0,192.0,192.0,-3.0,"73,633",197.0,201.425,200.025,204.37,178.0625,195.53528777703525,200.4789989633647,37.090370685837655,-3.051111827760593,-2.052619058625376,-0.9984927691352176,178.0625,204.37,2317
2024-12-10,"32,359,253","34,496,134,808",1070.0,1075.0,1060.0,1065.0,-10.00,"31,326",1070.0,1036.3,1025.25,1038.74,912.33,1063.8144160610395,1045.486907697469,56.522268895631285,8.551340653651096,3.4381462648628984,5.113194388788197,912.33,1038.74,2330
2024-12-10,"8,230,114","11,015,978,916",1315.0,1360.0,1310.0,1350.0,+25.00,"12,323",1325.0,1285.25,1258.75,1281.8,1217.58,1325.4696869400418,1297.3279473116122,61.72797903711695,15.095443103860816,8.793186167264126,6.30225693659669,1217.58,1285.25,2454
2024-12-11,"66,246,732","12,596,425,979",190.0,194.0,189.0,189.0,-3.0,"86,964",194.6,200.15,200.35,204.36,178.4925,193.3568585180236,199.38576096685372,34.25753484492984,-3.562266458510948,-2.35454853860249,-1.2077179199084576,178.4925,204.36,2317
