成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,SMA_5,SMA_20,SMA_60,SMA_50,SMA_200,EMA_5,EMA_20,RSI,MACD,MACD_signal,MACD_hist,Support_Level,Resistance_Level,day_index,predicted_close_price
66246732.00,12596425728.00,190.00,194.00,189.00,189.00,-3.00,86964.00,194.60,200.15,200.35,204.36,178.49,193.36,199.39,34.26,-3.56,-2.35,-1.21,178.49,204.36,1,144.45
50634756.00,9624979456.00,190.50,193.00,188.50,188.50,-0.50,51432.00,192.50,199.00,200.53,204.31,178.92,191.74,198.35,33.79,-3.96,-2.68,-1.29,178.92,204.31,2,141.84
55417048.00,10371852288.00,188.50,189.50,185.50,186.50,-2.00,78777.00,190.20,197.98,200.71,204.29,179.34,189.99,197.22,31.93,-4.39,-3.02,-1.37,179.34,204.29,3,143.14
75228640.00,13834643456.00,188.00,189.50,181.50,182.00,-4.50,96744.00,187.60,196.95,200.72,204.19,179.73,187.33,195.77,28.18,-5.03,-3.42,-1.61,179.73,204.19,4,143.04
55667608.00,10220504064.00,181.00,186.00,181.00,183.00,1.00,47278.00,185.80,195.92,200.88,203.97,180.13,185.89,194.55,30.14,-5.40,-3.82,-1.58,180.13,203.97,5,143.44
50634756.00,9624979456.00,190.50,193.00,188.50,188.50,-0.50,51432.00,192.50,199.00,200.53,204.31,178.92,191.74,198.35,33.79,-3.96,-2.68,-1.29,178.92,204.31,1,144.39
55417048.00,10371852288.00,188.50,189.50,185.50,186.50,-2.00,78777.00,190.20,197.98,200.71,204.29,179.34,189.99,197.22,31.93,-4.39,-3.02,-1.37,179.34,204.29,2,141.82
75228640.00,13834643456.00,188.00,189.50,181.50,182.00,-4.50,96744.00,187.60,196.95,200.72,204.19,179.73,187.33,195.77,28.18,-5.03,-3.42,-1.61,179.73,204.19,3,143.09
55667608.00,10220504064.00,181.00,186.00,181.00,183.00,1.00,47278.00,185.80,195.92,200.88,203.97,180.13,185.89,194.55,30.14,-5.40,-3.82,-1.58,180.13,203.97,4,142.98
47937384.00,8823563264.00,183.00,185.50,182.50,184.50,1.50,36056.00,184.90,194.85,201.01,203.71,180.53,185.42,193.60,33.10,-5.51,-4.16,-1.35,180.53,203.71,5,143.36
55417048.00,10371852288.00,188.50,189.50,185.50,186.50,-2.00,78777.00,190.20,197.98,200.71,204.29,179.34,189.99,197.22,31.93,-4.39,-3.02,-1.37,179.34,204.29,1,143.86
75228640.00,13834643456.00,188.00,189.50,181.50,182.00,-4.50,96744.00,187.60,196.95,200.72,204.19,179.73,187.33,195.77,28.18,-5.03,-3.42,-1.61,179.73,204.19,2,141.35
55667608.00,10220504064.00,181.00,186.00,181.00,183.00,1.00,47278.00,185.80,195.92,200.88,203.97,180.13,185.89,194.55,30.14,-5.40,-3.82,-1.58,180.13,203.97,3,142.58
47937384.00,8823563264.00,183.00,185.50,182.50,184.50,1.50,36056.00,184.90,194.85,201.01,203.71,180.53,185.42,193.60,33.10,-5.51,-4.16,-1.35,180.53,203.71,4,142.48
65029900.00,11756960768.00,181.00,182.00,179.00,181.00,-3.50,68455.00,183.40,193.78,201.08,203.45,180.92,183.95,192.40,29.92,-5.81,-4.49,-1.32,180.92,203.45,5,142.82
75228640.00,13834643456.00,188.00,189.50,181.50,182.00,-4.50,96744.00,187.60,196.95,200.72,204.19,179.73,187.33,195.77,28.18,-5.03,-3.42,-1.61,179.73,204.19,1,143.74
55667608.00,10220504064.00,181.00,186.00,181.00,183.00,1.00,47278.00,185.80,195.92,200.88,203.97,180.13,185.89,194.55,30.14,-5.40,-3.82,-1.58,180.13,203.97,2,141.25
47937384.00,8823563264.00,183.00,185.50,182.50,184.50,1.50,36056.00,184.90,194.85,201.01,203.71,180.53,185.42,193.60,33.10,-5.51,-4.16,-1.35,180.53,203.71,3,142.46
65029900.00,11756960768.00,181.00,182.00,179.00,181.00,-3.50,68455.00,183.40,193.78,201.08,203.45,180.92,183.95,192.40,29.92,-5.81,-4.49,-1.32,180.92,203.45,4,142.37
56744332.00,10296645632.00,181.00,184.00,180.00,181.00,0.00,33841.00,182.30,192.68,201.09,203.09,181.31,182.97,191.31,29.92,-5.98,-4.78,-1.19,181.31,203.09,5,142.67
55667608.00,10220504064.00,181.00,186.00,181.00,183.00,1.00,47278.00,185.80,195.92,200.88,203.97,180.13,185.89,194.55,30.14,-5.40,-3.82,-1.58,180.13,203.97,1,144.15
47937384.00,8823563264.00,183.00,185.50,182.50,184.50,1.50,36056.00,184.90,194.85,201.01,203.71,180.53,185.42,193.60,33.10,-5.51,-4.16,-1.35,180.53,203.71,2,141.69
65029900.00,11756960768.00,181.00,182.00,179.00,181.00,-3.50,68455.00,183.40,193.78,201.08,203.45,180.92,183.95,192.40,29.92,-5.81,-4.49,-1.32,180.92,203.45,3,142.89
56744332.00,10296645632.00,181.00,184.00,180.00,181.00,0.00,33841.00,182.30,192.68,201.09,203.09,181.31,182.97,191.31,29.92,-5.98,-4.78,-1.19,181.31,203.09,4,142.75
52761424.00,9808419840.00,185.00,187.50,184.00,185.50,4.50,37334.00,183.00,191.42,201.13,202.80,181.73,183.81,190.76,38.71,-5.68,-4.96,-0.72,181.73,202.80,5,143.09
47937384.00,8823563264.00,183.00,185.50,182.50,184.50,1.50,36056.00,184.90,194.85,201.01,203.71,180.53,185.42,193.60,33.10,-5.51,-4.16,-1.35,180.53,203.71,1,144.26
65029900.00,11756960768.00,181.00,182.00,179.00,181.00,-3.50,68455.00,183.40,193.78,201.08,203.45,180.92,183.95,192.40,29.92,-5.81,-4.49,-1.32,180.92,203.45,2,141.78
56744332.00,10296645632.00,181.00,184.00,180.00,181.00,0.00,33841.00,182.30,192.68,201.09,203.09,181.31,182.97,191.31,29.92,-5.98,-4.78,-1.19,181.31,203.09,3,143.00
52761424.00,9808419840.00,185.00,187.50,184.00,185.50,4.50,37334.00,183.00,191.42,201.13,202.80,181.73,183.81,190.76,38.71,-5.68,-4.96,-0.72,181.73,202.80,4,142.85
33589660.00,6258359808.00,187.50,187.50,185.50,185.50,0.00,29234.00,183.50,190.58,201.08,202.53,182.12,184.37,190.26,38.71,-5.39,-5.05,-0.34,182.12,202.53,5,143.20
65029900.00,11756960768.00,181.00,182.00,179.00,181.00,-3.50,68455.00,183.40,193.78,201.08,203.45,180.92,183.95,192.40,29.92,-5.81,-4.49,-1.32,180.92,203.45,1,144.49
56744332.00,10296645632.00,181.00,184.00,180.00,181.00,0.00,33841.00,182.30,192.68,201.09,203.09,181.31,182.97,191.31,29.92,-5.98,-4.78,-1.19,181.31,203.09,2,141.99
52761424.00,9808419840.00,185.00,187.50,184.00,185.50,4.50,37334.00,183.00,191.42,201.13,202.80,181.73,183.81,190.76,38.71,-5.68,-4.96,-0.72,181.73,202.80,3,143.21
33589660.00,6258359808.00,187.50,187.50,185.50,185.50,0.00,29234.00,183.50,190.58,201.08,202.53,182.12,184.37,190.26,38.71,-5.39,-5.05,-0.34,182.12,202.53,4,143.06
21758178.00,4062013440.00,186.50,188.00,186.00,186.50,1.00,18772.00,183.90,190.08,201.03,202.12,182.52,185.08,189.90,40.63,-5.01,-5.04,0.03,182.52,202.12,5,143.42
56744332.00,10296645632.00,181.00,184.00,180.00,181.00,0.00,33841.00,182.30,192.68,201.09,203.09,181.31,182.97,191.31,29.92,-5.98,-4.78,-1.19,181.31,203.09,1,144.79
52761424.00,9808419840.00,185.00,187.50,184.00,185.50,4.50,37334.00,183.00,191.42,201.13,202.80,181.73,183.81,190.76,38.71,-5.68,-4.96,-0.72,181.73,202.80,2,142.25
33589660.00,6258359808.00,187.50,187.50,185.50,185.50,0.00,29234.00,183.50,190.58,201.08,202.53,182.12,184.37,190.26,38.71,-5.39,-5.05,-0.34,182.12,202.53,3,143.49
21758178.00,4062013440.00,186.50,188.00,186.00,186.50,1.00,18772.00,183.90,190.08,201.03,202.12,182.52,185.08,189.90,40.63,-5.01,-5.04,0.03,182.52,202.12,4,143.33
36347152.00,6835578368.00,187.50,189.00,187.00,187.50,1.00,26373.00,185.20,189.68,200.98,201.77,182.93,185.89,189.67,42.57,-4.58,-4.95,0.37,182.93,201.77,5,143.71
52761424.00,9808419840.00,185.00,187.50,184.00,185.50,4.50,37334.00,183.00,191.42,201.13,202.80,181.73,183.81,190.76,38.71,-5.68,-4.96,-0.72,181.73,202.80,1,144.87
33589660.00,6258359808.00,187.50,187.50,185.50,185.50,0.00,29234.00,183.50,190.58,201.08,202.53,182.12,184.37,190.26,38.71,-5.39,-5.05,-0.34,182.12,202.53,2,142.29
21758178.00,4062013440.00,186.50,188.00,186.00,186.50,1.00,18772.00,183.90,190.08,201.03,202.12,182.52,185.08,189.90,40.63,-5.01,-5.04,0.03,182.52,202.12,3,143.56
36347152.00,6835578368.00,187.50,189.00,187.00,187.50,1.00,26373.00,185.20,189.68,200.98,201.77,182.93,185.89,189.67,42.57,-4.58,-4.95,0.37,182.93,201.77,4,143.41
22136198.00,4128454656.00,187.50,188.00,185.50,186.50,-1.00,22469.00,186.30,189.22,200.96,201.33,183.32,186.09,189.37,41.12,-4.28,-4.81,0.54,183.32,201.33,5,143.79
33589660.00,6258359808.00,187.50,187.50,185.50,185.50,0.00,29234.00,183.50,190.58,201.08,202.53,182.12,184.37,190.26,38.71,-5.39,-5.05,-0.34,182.12,202.53,1,144.78
21758178.00,4062013440.00,186.50,188.00,186.00,186.50,1.00,18772.00,183.90,190.08,201.03,202.12,182.52,185.08,189.90,40.63,-5.01,-5.04,0.03,182.52,202.12,2,142.18
36347152.00,6835578368.00,187.50,189.00,187.00,187.50,1.00,26373.00,185.20,189.68,200.98,201.77,182.93,185.89,189.67,42.57,-4.58,-4.95,0.37,182.93,201.77,3,143.46
22136198.00,4128454656.00,187.50,188.00,185.50,186.50,-1.00,22469.00,186.30,189.22,200.96,201.33,183.32,186.09,189.37,41.12,-4.28,-4.81,0.54,183.32,201.33,4,143.33
24531536.00,4550187008.00,185.50,187.00,184.50,185.00,-1.50,22906.00,186.20,188.68,200.92,200.88,183.72,185.73,188.95,38.99,-4.10,-4.67,0.57,183.72,200.88,5,143.68
21758178.00,4062013440.00,186.50,188.00,186.00,186.50,1.00,18772.00,183.90,190.08,201.03,202.12,182.52,185.08,189.90,40.63,-5.01,-5.04,0.03,182.52,202.12,1,144.65
36347152.00,6835578368.00,187.50,189.00,187.00,187.50,1.00,26373.00,185.20,189.68,200.98,201.77,182.93,185.89,189.67,42.57,-4.58,-4.95,0.37,182.93,201.77,2,142.06
22136198.00,4128454656.00,187.50,188.00,185.50,186.50,-1.00,22469.00,186.30,189.22,200.96,201.33,183.32,186.09,189.37,41.12,-4.28,-4.81,0.54,183.32,201.33,3,143.33
24531536.00,4550187008.00,185.50,187.00,184.50,185.00,-1.50,22906.00,186.20,188.68,200.92,200.88,183.72,185.73,188.95,38.99,-4.10,-4.67,0.57,183.72,200.88,4,143.22
22003450.00,4048044032.00,184.50,185.00,183.00,184.00,-1.00,24178.00,185.90,188.05,200.76,200.36,184.10,185.15,188.48,37.58,-4.00,-4.54,0.54,184.10,200.36,5,143.55
36347152.00,6835578368.00,187.50,189.00,187.00,187.50,1.00,26373.00,185.20,189.68,200.98,201.77,182.93,185.89,189.67,42.57,-4.58,-4.95,0.37,182.93,201.77,1,144.39
22136198.00,4128454656.00,187.50,188.00,185.50,186.50,-1.00,22469.00,186.30,189.22,200.96,201.33,183.32,186.09,189.37,41.12,-4.28,-4.81,0.54,183.32,201.33,2,141.84
24531536.00,4550187008.00,185.50,187.00,184.50,185.00,-1.50,22906.00,186.20,188.68,200.92,200.88,183.72,185.73,188.95,38.99,-4.10,-4.67,0.57,183.72,200.88,3,143.08
22003450.00,4048044032.00,184.50,185.00,183.00,184.00,-1.00,24178.00,185.90,188.05,200.76,200.36,184.10,185.15,188.48,37.58,-4.00,-4.54,0.54,184.10,200.36,4,142.97
41467352.00,7588158976.00,184.00,186.00,181.50,182.50,-1.50,48006.00,185.10,187.12,200.51,199.70,184.41,184.27,187.91,35.52,-4.00,-4.43,0.43,184.41,199.70,5,143.28
22136198.00,4128454656.00,187.50,188.00,185.50,186.50,-1.00,22469.00,186.30,189.22,200.96,201.33,183.32,186.09,189.37,41.12,-4.28,-4.81,0.54,183.32,201.33,1,144.06
24531536.00,4550187008.00,185.50,187.00,184.50,185.00,-1.50,22906.00,186.20,188.68,200.92,200.88,183.72,185.73,188.95,38.99,-4.10,-4.67,0.57,183.72,200.88,2,141.54
22003450.00,4048044032.00,184.50,185.00,183.00,184.00,-1.00,24178.00,185.90,188.05,200.76,200.36,184.10,185.15,188.48,37.58,-4.00,-4.54,0.54,184.10,200.36,3,142.77
41467352.00,7588158976.00,184.00,186.00,181.50,182.50,-1.50,48006.00,185.10,187.12,200.51,199.70,184.41,184.27,187.91,35.52,-4.00,-4.43,0.43,184.41,199.70,4,142.66
48659204.00,8838729728.00,183.00,184.00,180.50,181.00,-1.50,52820.00,183.80,186.22,200.29,199.00,184.72,183.18,187.25,33.53,-4.07,-4.36,0.29,184.72,199.00,5,142.94
24531536.00,4550187008.00,185.50,187.00,184.50,185.00,-1.50,22906.00,186.20,188.68,200.92,200.88,183.72,185.73,188.95,38.99,-4.10,-4.67,0.57,183.72,200.88,1,144.29
22003450.00,4048044032.00,184.50,185.00,183.00,184.00,-1.00,24178.00,185.90,188.05,200.76,200.36,184.10,185.15,188.48,37.58,-4.00,-4.54,0.54,184.10,200.36,2,141.82
41467352.00,7588158976.00,184.00,186.00,181.50,182.50,-1.50,48006.00,185.10,187.12,200.51,199.70,184.41,184.27,187.91,35.52,-4.00,-4.43,0.43,184.41,199.70,3,143.02
48659204.00,8838729728.00,183.00,184.00,180.50,181.00,-1.50,52820.00,183.80,186.22,200.29,199.00,184.72,183.18,187.25,33.53,-4.07,-4.36,0.29,184.72,199.00,4,142.87
67829024.00,12539307008.00,185.00,187.50,183.50,184.50,3.50,48289.00,183.40,185.55,200.05,198.46,185.03,183.62,186.99,41.72,-3.80,-4.25,0.45,185.03,198.46,5,143.19
22003450.00,4048044032.00,184.50,185.00,183.00,184.00,-1.00,24178.00,185.90,188.05,200.76,200.36,184.10,185.15,188.48,37.58,-4.00,-4.54,0.54,184.10,200.36,1,144.80
41467352.00,7588158976.00,184.00,186.00,181.50,182.50,-1.50,48006.00,185.10,187.12,200.51,199.70,184.41,184.27,187.91,35.52,-4.00,-4.43,0.43,184.41,199.70,2,142.35
48659204.00,8838729728.00,183.00,184.00,180.50,181.00,-1.50,52820.00,183.80,186.22,200.29,199.00,184.72,183.18,187.25,33.53,-4.07,-4.36,0.29,184.72,199.00,3,143.55
67829024.00,12539307008.00,185.00,187.50,183.50,184.50,3.50,48289.00,183.40,185.55,200.05,198.46,185.03,183.62,186.99,41.72,-3.80,-4.25,0.45,185.03,198.46,4,143.32
83019296.00,15727768576.00,187.00,192.00,186.50,190.00,5.50,61312.00,184.40,185.30,199.88,197.94,185.32,185.75,187.28,51.76,-3.10,-4.02,0.91,185.30,197.94,5,143.73
41467352.00,7588158976.00,184.00,186.00,181.50,182.50,-1.50,48006.00,185.10,187.12,200.51,199.70,184.41,184.27,187.91,35.52,-4.00,-4.43,0.43,184.41,199.70,1,144.81
48659204.00,8838729728.00,183.00,184.00,180.50,181.00,-1.50,52820.00,183.80,186.22,200.29,199.00,184.72,183.18,187.25,33.53,-4.07,-4.36,0.29,184.72,199.00,2,142.33
67829024.00,12539307008.00,185.00,187.50,183.50,184.50,3.50,48289.00,183.40,185.55,200.05,198.46,185.03,183.62,186.99,41.72,-3.80,-4.25,0.45,185.03,198.46,3,143.56
83019296.00,15727768576.00,187.00,192.00,186.50,190.00,5.50,61312.00,184.40,185.30,199.88,197.94,185.32,185.75,187.28,51.76,-3.10,-4.02,0.91,185.30,197.94,4,143.32
41798816.00,7881691136.00,190.00,190.00,187.00,188.00,-2.00,68591.00,185.20,185.10,199.70,197.40,185.58,186.50,187.35,48.49,-2.68,-3.75,1.07,185.10,197.40,5,143.76
48659204.00,8838729728.00,183.00,184.00,180.50,181.00,-1.50,52820.00,183.80,186.22,200.29,199.00,184.72,183.18,187.25,33.53,-4.07,-4.36,0.29,184.72,199.00,1,144.57
67829024.00,12539307008.00,185.00,187.50,183.50,184.50,3.50,48289.00,183.40,185.55,200.05,198.46,185.03,183.62,186.99,41.72,-3.80,-4.25,0.45,185.03,198.46,2,142.05
83019296.00,15727768576.00,187.00,192.00,186.50,190.00,5.50,61312.00,184.40,185.30,199.88,197.94,185.32,185.75,187.28,51.76,-3.10,-4.02,0.91,185.30,197.94,3,143.29
41798816.00,7881691136.00,190.00,190.00,187.00,188.00,-2.00,68591.00,185.20,185.10,199.70,197.40,185.58,186.50,187.35,48.49,-2.68,-3.75,1.07,185.10,197.40,4,143.10
47079536.00,8712211456.00,188.00,188.00,183.00,183.00,-5.00,53956.00,185.30,184.80,199.30,196.87,185.82,185.33,186.93,41.43,-2.72,-3.55,0.82,184.80,196.87,5,143.51
67829024.00,12539307008.00,185.00,187.50,183.50,184.50,3.50,48289.00,183.40,185.55,200.05,198.46,185.03,183.62,186.99,41.72,-3.80,-4.25,0.45,185.03,198.46,1,144.43
83019296.00,15727768576.00,187.00,192.00,186.50,190.00,5.50,61312.00,184.40,185.30,199.88,197.94,185.32,185.75,187.28,51.76,-3.10,-4.02,0.91,185.30,197.94,2,141.91
41798816.00,7881691136.00,190.00,190.00,187.00,188.00,-2.00,68591.00,185.20,185.10,199.70,197.40,185.58,186.50,187.35,48.49,-2.68,-3.75,1.07,185.10,197.40,3,143.14
47079536.00,8712211456.00,188.00,188.00,183.00,183.00,-5.00,53956.00,185.30,184.80,199.30,196.87,185.82,185.33,186.93,41.43,-2.72,-3.55,0.82,184.80,196.87,4,143.00
42317496.00,7698779136.00,182.50,184.00,181.00,181.50,-1.50,47888.00,185.40,184.45,198.91,196.27,186.04,184.05,186.42,39.57,-2.84,-3.41,0.56,184.45,196.27,5,143.37
83019296.00,15727768576.00,187.00,192.00,186.50,190.00,5.50,61312.00,184.40,185.30,199.88,197.94,185.32,185.75,187.28,51.76,-3.10,-4.02,0.91,185.30,197.94,1,143.12
41798816.00,7881691136.00,190.00,190.00,187.00,188.00,-2.00,68591.00,185.20,185.10,199.70,197.40,185.58,186.50,187.35,48.49,-2.68,-3.75,1.07,185.10,197.40,2,140.74
47079536.00,8712211456.00,188.00,188.00,183.00,183.00,-5.00,53956.00,185.30,184.80,199.30,196.87,185.82,185.33,186.93,41.43,-2.72,-3.55,0.82,184.80,196.87,3,141.89
42317496.00,7698779136.00,182.50,184.00,181.00,181.50,-1.50,47888.00,185.40,184.45,198.91,196.27,186.04,184.05,186.42,39.57,-2.84,-3.41,0.56,184.45,196.27,4,141.77
157188528.00,27407638528.00,180.00,180.50,171.50,171.50,-10.00,192669.00,182.80,183.70,198.29,195.54,186.18,179.87,184.99,29.93,-3.70,-3.47,-0.24,183.70,195.54,5,142.06
41798816.00,7881691136.00,190.00,190.00,187.00,188.00,-2.00,68591.00,185.20,185.10,199.70,197.40,185.58,186.50,187.35,48.49,-2.68,-3.75,1.07,185.10,197.40,1,142.87
47079536.00,8712211456.00,188.00,188.00,183.00,183.00,-5.00,53956.00,185.30,184.80,199.30,196.87,185.82,185.33,186.93,41.43,-2.72,-3.55,0.82,184.80,196.87,2,140.52
42317496.00,7698779136.00,182.50,184.00,181.00,181.50,-1.50,47888.00,185.40,184.45,198.91,196.27,186.04,184.05,186.42,39.57,-2.84,-3.41,0.56,184.45,196.27,3,141.65
157188528.00,27407638528.00,180.00,180.50,171.50,171.50,-10.00,192669.00,182.80,183.70,198.29,195.54,186.18,179.87,184.99,29.93,-3.70,-3.47,-0.24,183.70,195.54,4,141.56
64355672.00,11130474496.00,171.50,174.50,171.00,174.50,3.00,52963.00,179.70,183.32,197.74,194.75,186.32,178.08,184.00,35.04,-4.09,-3.59,-0.50,183.32,194.75,5,141.80
47079536.00,8712211456.00,188.00,188.00,183.00,183.00,-5.00,53956.00,185.30,184.80,199.30,196.87,185.82,185.33,186.93,41.43,-2.72,-3.55,0.82,184.80,196.87,1,142.09
42317496.00,7698779136.00,182.50,184.00,181.00,181.50,-1.50,47888.00,185.40,184.45,198.91,196.27,186.04,184.05,186.42,39.57,-2.84,-3.41,0.56,184.45,196.27,2,139.84
157188528.00,27407638528.00,180.00,180.50,171.50,171.50,-10.00,192669.00,182.80,183.70,198.29,195.54,186.18,179.87,184.99,29.93,-3.70,-3.47,-0.24,183.70,195.54,3,140.92
64355672.00,11130474496.00,171.50,174.50,171.00,174.50,3.00,52963.00,179.70,183.32,197.74,194.75,186.32,178.08,184.00,35.04,-4.09,-3.59,-0.50,183.32,194.75,4,140.82
60432736.00,10411822080.00,174.50,175.50,171.00,171.00,-3.50,65891.00,176.30,182.72,197.09,193.89,186.45,175.72,182.76,32.10,-4.63,-3.80,-0.83,182.72,193.89,5,141.01
42317496.00,7698779136.00,182.50,184.00,181.00,181.50,-1.50,47888.00,185.40,184.45,198.91,196.27,186.04,184.05,186.42,39.57,-2.84,-3.41,0.56,184.45,196.27,1,142.00
157188528.00,27407638528.00,180.00,180.50,171.50,171.50,-10.00,192669.00,182.80,183.70,198.29,195.54,186.18,179.87,184.99,29.93,-3.70,-3.47,-0.24,183.70,195.54,2,139.82
64355672.00,11130474496.00,171.50,174.50,171.00,174.50,3.00,52963.00,179.70,183.32,197.74,194.75,186.32,178.08,184.00,35.04,-4.09,-3.59,-0.50,183.32,194.75,3,140.83
