成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,SMA_5,SMA_20,SMA_60,SMA_50,SMA_200,EMA_5,EMA_20,RSI,MACD,MACD_signal,MACD_hist,Support_Level,Resistance_Level,day_index,predicted_close_price
6211010.00,8141227520.00,1325.00,1330.00,1295.00,1315.00,5.00,7911.00,1277.00,1276.50,1242.08,1265.50,1208.18,1290.29,1278.53,57.26,4.87,2.72,2.15,1208.18,1276.50,1,1752.28
4844752.00,6364952064.00,1315.00,1325.00,1305.00,1320.00,5.00,6345.00,1291.00,1277.25,1245.17,1269.50,1210.13,1300.19,1282.48,58.03,7.61,3.70,3.92,1210.13,1277.25,2,1731.29
5559581.00,7367160832.00,1325.00,1335.00,1310.00,1325.00,5.00,10447.00,1305.00,1278.25,1248.75,1273.50,1212.07,1308.46,1286.53,58.84,10.07,4.97,5.10,1212.07,1278.25,3,1696.22
4364288.00,5747214848.00,1325.00,1340.00,1300.00,1305.00,-20.00,11555.00,1315.00,1279.50,1251.42,1276.70,1213.92,1307.31,1288.29,54.35,10.29,6.04,4.26,1213.92,1279.50,4,1701.36
4592126.00,6045281280.00,1320.00,1325.00,1300.00,1325.00,20.00,5865.00,1318.00,1281.00,1255.08,1279.30,1215.68,1313.20,1291.78,57.82,11.94,7.22,4.73,1215.68,1281.00,5,1647.71
4844752.00,6364952064.00,1315.00,1325.00,1305.00,1320.00,5.00,6345.00,1291.00,1277.25,1245.17,1269.50,1210.13,1300.19,1282.48,58.03,7.61,3.70,3.92,1210.13,1277.25,1,1754.16
5559581.00,7367160832.00,1325.00,1335.00,1310.00,1325.00,5.00,10447.00,1305.00,1278.25,1248.75,1273.50,1212.07,1308.46,1286.53,58.84,10.07,4.97,5.10,1212.07,1278.25,2,1733.09
4364288.00,5747214848.00,1325.00,1340.00,1300.00,1305.00,-20.00,11555.00,1315.00,1279.50,1251.42,1276.70,1213.92,1307.31,1288.29,54.35,10.29,6.04,4.26,1213.92,1279.50,3,1697.62
4592126.00,6045281280.00,1320.00,1325.00,1300.00,1325.00,20.00,5865.00,1318.00,1281.00,1255.08,1279.30,1215.68,1313.20,1291.78,57.82,11.94,7.22,4.73,1215.68,1281.00,4,1703.24
8230114.00,11015979008.00,1315.00,1360.00,1310.00,1350.00,25.00,12323.00,1325.00,1285.25,1258.75,1281.80,1217.58,1325.47,1297.33,61.73,15.10,8.79,6.30,1217.58,1285.25,5,1649.99
5559581.00,7367160832.00,1325.00,1335.00,1310.00,1325.00,5.00,10447.00,1305.00,1278.25,1248.75,1273.50,1212.07,1308.46,1286.53,58.84,10.07,4.97,5.10,1212.07,1278.25,1,1753.14
4364288.00,5747214848.00,1325.00,1340.00,1300.00,1305.00,-20.00,11555.00,1315.00,1279.50,1251.42,1276.70,1213.92,1307.31,1288.29,54.35,10.29,6.04,4.26,1213.92,1279.50,2,1731.97
4592126.00,6045281280.00,1320.00,1325.00,1300.00,1325.00,20.00,5865.00,1318.00,1281.00,1255.08,1279.30,1215.68,1313.20,1291.78,57.82,11.94,7.22,4.73,1215.68,1281.00,3,1697.33
8230114.00,11015979008.00,1315.00,1360.00,1310.00,1350.00,25.00,12323.00,1325.00,1285.25,1258.75,1281.80,1217.58,1325.47,1297.33,61.73,15.10,8.79,6.30,1217.58,1285.25,4,1702.36
7633822.50,10191660032.00,1320.00,1355.00,1305.00,1350.00,0.00,9374.00,1331.00,1290.00,1262.75,1283.40,1219.52,1333.65,1302.34,61.73,17.39,10.51,6.88,1219.52,1290.00,5,1648.93
4364288.00,5747214848.00,1325.00,1340.00,1300.00,1305.00,-20.00,11555.00,1315.00,1279.50,1251.42,1276.70,1213.92,1307.31,1288.29,54.35,10.29,6.04,4.26,1213.92,1279.50,1,1758.02
4592126.00,6045281280.00,1320.00,1325.00,1300.00,1325.00,20.00,5865.00,1318.00,1281.00,1255.08,1279.30,1215.68,1313.20,1291.78,57.82,11.94,7.22,4.73,1215.68,1281.00,2,1736.98
8230114.00,11015979008.00,1315.00,1360.00,1310.00,1350.00,25.00,12323.00,1325.00,1285.25,1258.75,1281.80,1217.58,1325.47,1297.33,61.73,15.10,8.79,6.30,1217.58,1285.25,3,1700.29
7633822.50,10191660032.00,1320.00,1355.00,1305.00,1350.00,0.00,9374.00,1331.00,1290.00,1262.75,1283.40,1219.52,1333.65,1302.34,61.73,17.39,10.51,6.88,1219.52,1290.00,4,1707.13
8447774.00,11722376192.00,1370.00,1400.00,1370.00,1380.00,30.00,20476.00,1342.00,1297.25,1266.50,1285.80,1221.50,1349.10,1309.74,66.10,21.39,12.69,8.70,1221.50,1297.25,5,1654.46
4592126.00,6045281280.00,1320.00,1325.00,1300.00,1325.00,20.00,5865.00,1318.00,1281.00,1255.08,1279.30,1215.68,1313.20,1291.78,57.82,11.94,7.22,4.73,1215.68,1281.00,1,1758.49
8230114.00,11015979008.00,1315.00,1360.00,1310.00,1350.00,25.00,12323.00,1325.00,1285.25,1258.75,1281.80,1217.58,1325.47,1297.33,61.73,15.10,8.79,6.30,1217.58,1285.25,2,1737.69
7633822.50,10191660032.00,1320.00,1355.00,1305.00,1350.00,0.00,9374.00,1331.00,1290.00,1262.75,1283.40,1219.52,1333.65,1302.34,61.73,17.39,10.51,6.88,1219.52,1290.00,3,1700.68
8447774.00,11722376192.00,1370.00,1400.00,1370.00,1380.00,30.00,20476.00,1342.00,1297.25,1266.50,1285.80,1221.50,1349.10,1309.74,66.10,21.39,12.69,8.70,1221.50,1297.25,4,1708.08
6733740.00,9392979968.00,1385.00,1410.00,1365.00,1410.00,30.00,14746.00,1363.00,1304.25,1271.25,1290.50,1223.65,1369.40,1319.29,69.82,26.67,15.48,11.18,1223.65,1304.25,5,1655.83
8230114.00,11015979008.00,1315.00,1360.00,1310.00,1350.00,25.00,12323.00,1325.00,1285.25,1258.75,1281.80,1217.58,1325.47,1297.33,61.73,15.10,8.79,6.30,1217.58,1285.25,1,1757.08
7633822.50,10191660032.00,1320.00,1355.00,1305.00,1350.00,0.00,9374.00,1331.00,1290.00,1262.75,1283.40,1219.52,1333.65,1302.34,61.73,17.39,10.51,6.88,1219.52,1290.00,2,1735.91
8447774.00,11722376192.00,1370.00,1400.00,1370.00,1380.00,30.00,20476.00,1342.00,1297.25,1266.50,1285.80,1221.50,1349.10,1309.74,66.10,21.39,12.69,8.70,1221.50,1297.25,3,1700.41
6733740.00,9392979968.00,1385.00,1410.00,1365.00,1410.00,30.00,14746.00,1363.00,1304.25,1271.25,1290.50,1223.65,1369.40,1319.29,69.82,26.67,15.48,11.18,1223.65,1304.25,4,1706.74
7521031.00,10583170048.00,1435.00,1440.00,1385.00,1385.00,-25.00,18946.00,1375.00,1311.50,1275.50,1294.00,1225.50,1374.60,1325.55,63.57,28.50,18.09,10.42,1225.50,1311.50,5,1653.82
7633822.50,10191660032.00,1320.00,1355.00,1305.00,1350.00,0.00,9374.00,1331.00,1290.00,1262.75,1283.40,1219.52,1333.65,1302.34,61.73,17.39,10.51,6.88,1219.52,1290.00,1,1760.92
8447774.00,11722376192.00,1370.00,1400.00,1370.00,1380.00,30.00,20476.00,1342.00,1297.25,1266.50,1285.80,1221.50,1349.10,1309.74,66.10,21.39,12.69,8.70,1221.50,1297.25,2,1740.40
6733740.00,9392979968.00,1385.00,1410.00,1365.00,1410.00,30.00,14746.00,1363.00,1304.25,1271.25,1290.50,1223.65,1369.40,1319.29,69.82,26.67,15.48,11.18,1223.65,1304.25,3,1702.18
7521031.00,10583170048.00,1435.00,1440.00,1385.00,1385.00,-25.00,18946.00,1375.00,1311.50,1275.50,1294.00,1225.50,1374.60,1325.55,63.57,28.50,18.09,10.42,1225.50,1311.50,4,1710.55
9362088.00,13364542464.00,1390.00,1445.00,1390.00,1425.00,40.00,18088.00,1390.00,1318.50,1280.83,1297.90,1227.12,1391.40,1335.02,68.44,32.81,21.03,11.78,1227.12,1318.50,5,1658.61
8447774.00,11722376192.00,1370.00,1400.00,1370.00,1380.00,30.00,20476.00,1342.00,1297.25,1266.50,1285.80,1221.50,1349.10,1309.74,66.10,21.39,12.69,8.70,1221.50,1297.25,1,1759.23
6733740.00,9392979968.00,1385.00,1410.00,1365.00,1410.00,30.00,14746.00,1363.00,1304.25,1271.25,1290.50,1223.65,1369.40,1319.29,69.82,26.67,15.48,11.18,1223.65,1304.25,2,1738.32
7521031.00,10583170048.00,1435.00,1440.00,1385.00,1385.00,-25.00,18946.00,1375.00,1311.50,1275.50,1294.00,1225.50,1374.60,1325.55,63.57,28.50,18.09,10.42,1225.50,1311.50,3,1701.43
9362088.00,13364542464.00,1390.00,1445.00,1390.00,1425.00,40.00,18088.00,1390.00,1318.50,1280.83,1297.90,1227.12,1391.40,1335.02,68.44,32.81,21.03,11.78,1227.12,1318.50,4,1709.04
