日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,股票代碼
113/04/16,"177,628,458","24,873,995,882",142.5,143.0,137.5,141.0,-5.00,"88,723",2317
113/04/17,"105,843,742","15,332,678,859",143.0,147.5,141.0,146.5,+5.50,"51,481",2317
113/04/18,"76,071,986","11,198,695,942",144.5,148.5,144.5,148.0,+1.50,"35,021",2317
113/04/19,"133,862,460","19,138,041,136",146.0,147.5,140.0,143.0,-5.00,"70,725",2317
113/04/22,"71,622,415","10,254,949,481",141.5,145.5,141.5,143.0, 0.00,"34,393",2317
113/04/23,"68,570,312","9,926,746,521",145.5,146.5,143.5,144.0,+1.00,"26,841",2317
113/04/24,"193,442,337","29,479,331,645",147.5,157.0,146.5,156.0,+12.00,"86,029",2317
113/04/25,"109,088,390","16,645,440,545",153.0,154.5,151.0,151.5,-4.50,"58,725",2317
113/04/26,"100,344,911","15,645,735,231",156.5,158.0,154.0,155.0,+3.50,"46,551",2317
113/04/29,"99,096,768","15,720,358,140",157.0,161.0,156.0,158.5,+3.50,"51,528",2317
113/04/30,"73,433,543","11,579,053,739",159.5,161.0,156.0,156.0,-2.50,"39,006",2317
113/05/02,"67,513,806","10,356,048,901",153.5,155.0,152.0,154.0,-2.00,"30,879",2317
113/05/03,"68,197,928","10,731,628,875",157.5,159.0,156.0,156.0,+2.00,"30,929",2317
113/05/06,"179,516,827","29,682,254,035",161.5,168.5,161.0,167.5,+11.50,"103,277",2317
113/05/07,"126,287,105","21,356,710,345",169.5,171.0,166.5,169.5,+2.00,"72,560",2317
113/05/08,"78,084,583","13,254,161,269",168.5,171.5,168.0,169.5, 0.00,"44,087",2317
113/05/09,"114,983,332","19,833,371,468",169.5,175.0,169.5,170.5,+1.00,"62,224",2317
113/05/10,"85,310,403","14,450,512,084",171.5,172.0,167.0,169.5,-1.00,"47,274",2317
113/05/13,"78,843,674","13,484,783,543",171.0,173.0,169.0,169.5, 0.00,"44,491",2317
113/05/14,"125,671,087","21,512,647,061",170.0,175.0,168.0,172.0,+2.50,"63,359",2317
113/05/15,"156,608,812","26,587,852,187",168.0,174.0,165.5,170.5,-1.50,"86,077",2317
113/05/16,"151,581,757","26,534,649,671",175.0,179.0,170.5,171.5,+1.00,"78,824",2317
113/05/17,"89,280,668","15,170,624,052",173.0,173.0,167.0,170.0,-1.50,"69,059",2317
113/05/20,"75,406,063","12,652,387,586",170.0,170.5,166.0,167.5,-2.50,"58,491",2317
113/05/21,"47,272,089","7,876,646,755",166.0,168.5,165.5,166.0,-1.50,"33,570",2317
113/05/22,"55,692,866","9,402,953,187",166.0,170.5,166.0,169.0,+3.00,"32,413",2317
113/05/23,"84,761,305","14,609,041,232",173.5,174.0,169.5,173.0,+4.00,"44,857",2317
113/05/24,"72,217,014","12,590,363,373",172.0,176.0,171.0,176.0,+3.00,"46,278",2317
113/05/27,"115,328,484","21,133,969,515",179.0,185.0,178.5,185.0,+9.00,"82,407",2317
113/05/28,"71,081,551","13,140,134,110",185.5,186.0,183.5,185.5,+0.50,"71,106",2317
113/05/29,"79,257,473","14,466,097,397",185.5,186.0,180.5,180.5,-5.00,"58,857",2317
113/05/30,"80,629,020","14,299,977,466",177.0,179.5,176.0,176.5,-4.00,"61,089",2317
113/05/31,"150,789,406","26,271,213,387",177.0,179.0,172.0,172.0,-4.50,"83,966",2317
113/06/03,"90,323,078","15,969,599,627",177.0,179.5,174.5,176.5,+4.50,"53,352",2317
113/06/04,"104,412,410","18,008,953,714",175.0,176.5,170.0,171.0,-5.50,"78,780",2317
113/06/05,"118,643,822","20,674,659,753",171.0,178.0,168.5,175.5,+4.50,"66,524",2317
113/06/06,"122,671,053","22,094,756,570",181.5,183.0,177.5,177.5,+2.00,"78,146",2317
