日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
113/01/02,"20,339,186","2,128,017,722",104.50,105.00,104.00,105.00,+0.50,"8,860"
113/01/03,"19,284,338","2,012,960,063",104.50,105.00,104.00,104.50,-0.50,"7,777"
113/01/04,"15,626,821","1,630,513,586",104.50,105.00,104.00,104.00,-0.50,"6,666"
113/01/05,"13,458,610","1,401,623,876",104.00,104.50,104.00,104.00, 0.00,"7,991"
113/01/08,"35,053,132","3,594,588,454",103.50,104.00,101.50,101.50,-2.50,"20,103"
113/01/09,"25,951,574","2,631,608,130",102.00,102.50,101.00,101.00,-0.50,"14,140"
113/01/10,"23,473,035","2,358,632,814",101.00,101.50,100.00,100.00,-1.00,"17,069"
113/01/11,"34,911,583","3,504,250,726",100.00,102.00,99.70,100.50,+0.50,"17,009"
113/01/12,"29,378,104","2,954,863,822",100.00,101.50,100.00,100.50, 0.00,"13,960"
113/01/15,"22,849,994","2,292,819,409",101.00,101.50,100.00,100.00,-0.50,"14,482"
113/01/16,"26,322,401","2,630,507,690",99.80,100.50,99.30,100.00, 0.00,"13,748"
113/01/17,"48,863,335","4,847,251,358",99.80,100.00,98.50,98.60,-1.40,"40,296"
113/01/18,"18,285,961","1,820,209,756",99.00,100.00,98.90,99.90,+1.30,"9,853"
113/01/19,"16,535,880","1,658,760,739",100.00,101.00,100.00,100.50,+0.60,"7,804"
113/01/22,"23,125,015","2,315,424,649",100.50,101.00,99.90,99.90,-0.60,"11,986"
113/01/23,"19,081,079","1,922,295,589",100.00,101.50,99.90,101.00,+1.10,"7,308"
113/01/24,"13,279,806","1,338,933,642",101.00,101.50,100.50,100.50,-0.50,"7,853"
113/01/25,"24,411,257","2,481,788,550",101.00,102.00,100.50,102.00,+1.50,"11,459"
113/01/26,"26,269,872","2,697,725,913",102.00,103.50,102.00,102.50,+0.50,"11,872"
113/01/29,"16,486,936","1,692,279,578",102.50,103.00,102.00,102.50, 0.00,"8,333"
113/01/30,"17,948,156","1,835,704,156",102.50,103.00,102.00,102.00,-0.50,"8,470"
113/01/31,"18,670,512","1,908,083,358",102.00,102.50,101.50,102.50,+0.50,"8,431"
113/02/01,"15,011,693","1,538,413,859",102.50,103.00,102.00,103.00,+0.50,"7,699"
113/02/02,"17,360,028","1,769,947,561",102.50,103.00,101.50,102.00,-1.00,"9,502"
113/02/05,"17,589,601","1,785,655,319",101.50,102.00,101.00,101.50,-0.50,"8,261"
113/02/15,"28,273,526","2,866,994,311",101.50,102.00,101.00,101.00,-0.50,"14,939"
113/02/16,"36,916,925","3,733,038,587",101.00,101.50,100.50,101.50,+0.50,"12,607"
113/02/19,"25,690,866","2,629,333,173",101.50,103.00,101.00,103.00,+1.50,"13,906"
113/02/20,"39,677,541","4,120,188,412",103.50,104.50,103.00,103.50,+0.50,"15,466"
113/02/21,"18,655,698","1,927,413,724",103.50,104.00,103.00,103.00,-0.50,"8,714"
113/02/22,"20,473,149","2,115,169,994",103.50,104.00,103.00,103.50,+0.50,"7,952"
113/02/23,"17,387,814","1,795,917,981",103.50,104.00,103.00,103.00,-0.50,"8,781"
113/02/26,"20,262,550","2,097,770,991",103.00,104.00,103.00,103.50,+0.50,"9,149"
113/02/27,"29,154,596","3,020,731,690",104.00,104.50,103.00,103.50, 0.00,"11,029"
113/02/29,"39,113,569","4,033,382,050",103.00,103.50,103.00,103.00,-0.50,"12,345"
113/03/01,"28,288,633","2,907,270,754",103.00,103.50,102.00,102.00,-1.00,"11,037"
113/03/04,"107,381,334","11,281,294,815",102.50,107.00,102.50,106.50,+4.50,"44,548"
113/03/05,"75,946,177","8,154,265,909",107.00,108.50,106.50,106.50, 0.00,"29,230"
113/03/06,"40,719,766","4,332,592,128",106.00,107.50,105.50,106.50, 0.00,"17,135"
113/03/07,"48,017,303","5,170,730,400",108.00,108.50,107.00,107.50,+1.00,"19,427"
113/03/08,"69,726,404","7,414,600,307",107.50,108.50,104.50,105.00,-2.50,"26,940"
113/03/11,"140,871,436","15,354,598,565",105.00,111.50,105.00,109.50,+4.50,"58,916"
113/03/12,"351,300,080","40,666,691,799",111.50,119.00,111.50,119.00,+9.50,"142,023"
113/03/13,"345,545,874","41,695,955,256",121.50,123.50,118.00,120.50,+1.50,"127,032"
113/03/14,"197,698,899","23,658,016,973",121.00,121.50,117.00,121.00,+0.50,"59,679"
113/03/15,"407,962,863","53,340,909,160",128.00,133.00,127.00,132.00,+11.00,"150,839"
113/03/18,"241,783,637","32,315,657,361",133.00,137.00,131.50,136.00,+4.00,"102,089"
113/03/19,"173,862,333","23,278,131,149",133.00,136.00,130.00,136.00, 0.00,"71,019"
113/03/20,"206,917,477","28,683,832,198",136.50,142.00,135.50,138.00,+2.00,"85,273"
113/03/21,"185,853,649","26,387,734,222",141.00,145.00,139.00,142.50,+4.50,"79,200"
113/03/22,"240,446,038","34,947,728,098",144.00,148.50,142.00,145.50,+3.00,"115,706"
113/03/25,"146,548,712","21,334,826,225",147.00,147.50,143.00,145.50, 0.00,"59,987"
113/03/26,"183,134,455","26,273,764,855",146.00,147.00,139.00,142.00,-3.50,"83,230"
113/03/27,"147,441,892","21,585,196,958",143.00,150.00,143.00,148.50,+6.50,"70,894"
113/03/28,"200,955,134","30,872,961,740",150.50,157.00,150.00,155.50,+7.00,"95,738"
113/03/29,"154,117,085","23,632,502,947",157.00,157.50,150.00,150.00,-5.50,"97,343"
113/04/01,"78,537,153","11,925,127,763",151.00,154.50,150.00,150.50,+0.50,"42,398"
113/04/02,"180,494,521","28,086,273,426",152.00,159.50,151.00,159.00,+8.50,"80,443"
113/04/03,"142,522,729","22,371,497,644",156.00,159.00,155.00,159.00, 0.00,"63,209"
113/04/08,"109,070,055","17,246,511,925",159.00,160.00,156.50,158.00,-1.00,"47,875"
113/04/09,"102,584,375","16,273,584,213",158.50,161.50,155.50,158.00, 0.00,"56,349"
113/04/10,"98,947,805","15,448,179,471",159.00,160.00,154.00,154.50,-3.50,"55,685"
113/04/11,"174,128,794","26,094,065,300",153.00,153.50,147.00,150.00,-4.50,"98,358"
113/04/12,"118,079,241","17,853,619,777",151.00,153.50,148.50,150.50,+0.50,"48,466"
113/04/15,"113,282,549","16,647,693,899",148.50,150.00,144.50,146.00,-4.50,"62,507"
113/04/16,"177,628,458","24,873,995,882",142.50,143.00,137.50,141.00,-5.00,"88,723"
113/04/17,"105,843,742","15,332,678,859",143.00,147.50,141.00,146.50,+5.50,"51,481"
113/04/18,"76,071,986","11,198,695,942",144.50,148.50,144.50,148.00,+1.50,"35,021"
113/04/19,"133,862,460","19,138,041,136",146.00,147.50,140.00,143.00,-5.00,"70,725"
113/04/22,"71,622,415","10,254,949,481",141.50,145.50,141.50,143.00, 0.00,"34,393"
113/04/23,"68,570,312","9,926,746,521",145.50,146.50,143.50,144.00,+1.00,"26,841"
113/04/24,"193,442,337","29,479,331,645",147.50,157.00,146.50,156.00,+12.00,"86,029"
113/04/25,"109,088,390","16,645,440,545",153.00,154.50,151.00,151.50,-4.50,"58,725"
113/04/26,"100,344,911","15,645,735,231",156.50,158.00,154.00,155.00,+3.50,"46,551"
113/04/29,"99,096,768","15,720,358,140",157.00,161.00,156.00,158.50,+3.50,"51,528"
113/04/30,"73,433,543","11,579,053,739",159.50,161.00,156.00,156.00,-2.50,"39,006"
113/05/02,"67,513,806","10,356,048,901",153.50,155.00,152.00,154.00,-2.00,"30,879"
113/05/03,"68,197,928","10,731,628,875",157.50,159.00,156.00,156.00,+2.00,"30,929"
113/05/06,"179,516,827","29,682,254,035",161.50,168.50,161.00,167.50,+11.50,"103,277"
113/05/07,"126,287,105","21,356,710,345",169.50,171.00,166.50,169.50,+2.00,"72,560"
113/05/08,"78,084,583","13,254,161,269",168.50,171.50,168.00,169.50, 0.00,"44,087"
113/05/09,"114,983,332","19,833,371,468",169.50,175.00,169.50,170.50,+1.00,"62,224"
113/05/10,"85,310,403","14,450,512,084",171.50,172.00,167.00,169.50,-1.00,"47,274"
113/05/13,"78,843,674","13,484,783,543",171.00,173.00,169.00,169.50, 0.00,"44,491"
113/05/14,"125,671,087","21,512,647,061",170.00,175.00,168.00,172.00,+2.50,"63,359"
113/05/15,"156,608,812","26,587,852,187",168.00,174.00,165.50,170.50,-1.50,"86,077"
113/05/16,"151,581,757","26,534,649,671",175.00,179.00,170.50,171.50,+1.00,"78,824"
113/05/17,"89,280,668","15,170,624,052",173.00,173.00,167.00,170.00,-1.50,"69,059"
113/05/20,"75,406,063","12,652,387,586",170.00,170.50,166.00,167.50,-2.50,"58,491"
113/05/21,"47,272,089","7,876,646,755",166.00,168.50,165.50,166.00,-1.50,"33,570"
113/05/22,"55,692,866","9,402,953,187",166.00,170.50,166.00,169.00,+3.00,"32,413"
113/05/23,"84,761,305","14,609,041,232",173.50,174.00,169.50,173.00,+4.00,"44,857"
113/05/24,"72,217,014","12,590,363,373",172.00,176.00,171.00,176.00,+3.00,"46,278"
113/05/27,"115,328,484","21,133,969,515",179.00,185.00,178.50,185.00,+9.00,"82,407"
113/05/28,"71,081,551","13,140,134,110",185.50,186.00,183.50,185.50,+0.50,"71,106"
113/05/29,"79,257,473","14,466,097,397",185.50,186.00,180.50,180.50,-5.00,"58,857"
113/05/30,"80,629,020","14,299,977,466",177.00,179.50,176.00,176.50,-4.00,"61,089"
113/05/31,"150,789,406","26,271,213,387",177.00,179.00,172.00,172.00,-4.50,"83,966"
113/06/03,"90,323,078","15,969,599,627",177.00,179.50,174.50,176.50,+4.50,"53,352"
113/06/04,"104,412,410","18,008,953,714",175.00,176.50,170.00,171.00,-5.50,"78,780"
113/06/05,"118,643,822","20,674,659,753",171.00,178.00,168.50,175.50,+4.50,"66,524"
113/06/06,"122,671,053","22,094,756,570",181.50,183.00,177.50,177.50,+2.00,"78,146"
113/06/07,"56,520,045","10,049,044,147",177.50,180.00,176.50,177.50, 0.00,"43,159"
113/06/11,"85,329,821","15,338,544,528",179.00,181.50,177.50,180.50,+3.00,"38,710"
113/06/12,"126,289,783","23,393,538,750",184.00,188.00,182.50,187.50,+7.00,"73,072"
113/06/13,"148,512,198","28,450,483,573",191.00,195.00,188.00,192.00,+4.50,"101,895"
113/06/14,"125,211,164","24,479,589,921",192.50,198.50,191.00,198.00,+6.00,"75,673"
113/06/17,"90,945,035","17,988,971,061",197.50,200.00,195.00,200.00,+2.00,"59,920"
113/06/18,"93,439,720","18,599,886,778",200.50,201.00,197.00,198.50,-1.50,"65,645"
113/06/19,"176,031,571","36,081,706,615",200.00,208.00,199.50,203.00,+4.50,"107,041"
113/06/20,"180,562,091","38,133,209,814",205.00,217.50,203.50,217.50,+14.50,"104,422"
113/06/21,"174,076,905","37,127,696,834",211.00,217.50,211.00,212.00,-5.50,"97,392"
113/06/24,"109,548,050","22,653,801,367",209.50,210.00,205.00,206.00,-6.00,"82,746"
113/06/25,"121,206,515","25,045,108,196",203.00,212.00,201.00,211.00,+5.00,"70,769"
113/06/26,"110,939,569","23,499,859,690",211.50,215.50,210.00,210.00,-1.00,"63,281"
113/06/27,"85,520,365","18,119,649,387",208.00,214.50,207.50,212.50,+2.50,"45,667"
113/06/28,"76,615,716","16,423,256,571",214.00,216.00,212.50,214.00,+1.50,"42,916"
113/07/01,"74,505,315","16,078,735,485",215.00,217.00,214.50,216.00,+2.00,"43,491"
113/07/02,"147,154,898","30,602,743,184",212.00,213.00,203.00,204.50,X0.00,"128,721"
113/07/03,"77,916,135","15,974,048,414",205.00,208.00,203.00,203.00,-1.50,"67,881"
113/07/04,"112,375,851","23,865,052,729",208.00,215.00,207.50,214.50,+11.50,"73,515"
113/07/05,"44,877,435","9,608,898,174",214.00,215.50,212.50,214.50, 0.00,"44,283"
113/07/08,"116,266,597","25,999,507,999",217.00,226.50,216.50,226.50,+12.00,"81,632"
113/07/09,"140,667,212","31,972,261,941",226.50,234.50,220.50,225.50,-1.00,"110,588"
113/07/10,"72,345,924","16,175,517,511",225.50,226.00,220.50,223.50,-2.00,"59,377"
113/07/11,"66,478,277","15,013,634,144",226.50,229.00,224.00,225.50,+2.00,"44,786"
113/07/12,"145,211,899","31,540,686,831",219.00,221.00,214.00,216.00,-9.50,"148,848"
113/07/15,"53,360,233","11,564,701,198",216.50,219.00,214.50,216.50,+0.50,"40,212"
113/07/16,"84,353,418","18,071,422,075",216.50,217.50,212.50,213.00,-3.50,"69,899"
113/07/17,"76,957,900","16,434,832,998",213.00,217.50,211.50,212.00,-1.00,"54,093"
113/07/18,"136,319,692","27,955,662,427",206.00,209.00,203.00,204.00,-8.00,"126,875"
113/07/19,"92,595,590","18,698,864,046",200.50,204.00,200.00,204.00, 0.00,"74,087"
113/07/22,"162,437,272","31,663,789,302",203.00,204.00,191.00,192.50,-11.50,"138,256"
113/07/23,"86,260,900","17,207,851,304",198.50,201.50,197.00,201.50,+9.00,"60,728"
113/07/26,"105,379,193","20,201,830,838",190.00,194.00,188.50,192.00,-9.50,"97,070"
113/07/29,"59,992,669","11,633,485,095",196.00,197.00,192.00,193.00,+1.00,"40,921"
113/07/30,"56,000,732","10,814,583,971",190.50,197.00,189.00,196.00,+3.00,"40,850"
113/07/31,"78,102,814","15,516,769,258",194.50,202.00,194.00,198.00,+2.00,"44,998"
113/08/01,"71,018,214","14,415,202,229",205.00,205.50,200.50,202.50,+4.50,"41,705"
113/08/02,"180,006,074","34,309,570,053",192.50,194.50,185.50,186.50,-16.00,"180,226"
113/08/05,"235,984,497","39,931,952,149",169.50,172.50,168.00,168.00,-18.50,"180,467"
113/08/06,"312,722,064","52,502,900,780",173.50,175.00,160.00,167.50,-0.50,"169,366"
113/08/07,"172,980,115","29,614,701,438",169.00,175.00,168.00,170.50,+3.00,"106,835"
113/08/08,"175,362,627","28,738,573,698",163.50,166.50,161.00,163.50,-7.00,"124,274"
113/08/09,"138,560,409","23,576,514,546",170.00,172.00,168.00,168.50,+5.00,"77,924"
113/08/12,"116,336,000","20,471,799,850",172.00,179.00,171.50,176.00,+7.50,"73,217"
113/08/13,"117,511,594","21,246,757,812",180.00,183.00,178.00,181.00,+5.00,"74,230"
113/08/14,"99,284,664","18,403,713,063",186.00,187.00,183.50,185.50,+4.50,"58,594"
113/08/15,"85,168,990","15,597,220,467",185.50,186.00,181.00,181.00,-4.50,"69,384"
113/08/16,"73,463,052","13,598,937,157",186.00,187.00,183.00,184.00,+3.00,"49,246"
113/08/19,"58,296,324","10,895,078,643",185.00,188.00,184.50,187.00,+3.00,"41,243"
113/08/20,"85,359,040","16,073,514,773",189.50,191.00,186.00,186.50,-0.50,"60,468"
113/08/21,"73,330,894","13,472,333,866",185.00,186.00,181.50,183.50,-3.00,"59,842"
113/08/22,"74,784,164","13,506,319,190",184.00,185.00,179.00,179.50,-4.00,"64,888"
113/08/23,"50,027,162","8,912,666,314",176.00,181.00,175.00,180.00,+0.50,"41,328"
113/08/26,"42,914,990","7,848,485,950",182.00,185.00,180.50,182.00,+2.00,"32,596"
113/08/27,"28,579,088","5,157,009,913",181.50,182.00,179.00,180.50,-1.50,"32,152"
113/08/28,"60,573,731","11,100,743,471",181.00,186.00,179.50,185.50,+5.00,"40,669"
