日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,SMA_5,SMA_20,SMA_60,SMA_50,SMA_200,EMA_5,EMA_20,RSI,MACD,MACD_signal,MACD_hist,Support_Level,Resistance_Level
2017-10-20,"27,056,035","6,456,386,670",238.0,239.5,237.5,237.5,-1.50,"7,206",237.5,226.0,219.26666666666668,220.21,203.3975,236.98221361148188,229.02865077265068,72.37129552688572,5.654545337565594,4.321932766674499,1.3326125708910943,203.3975,226.0
2017-10-23,"15,959,559","3,820,927,681",239.0,240.0,238.5,239.0,+1.50,"6,686",237.7,226.9,219.65833333333333,220.71,203.6925,237.6548090743213,229.97830308001727,74.0024202710242,5.735413981722417,4.604629009684083,1.1307849720383336,203.6925,226.9
2017-10-24,"16,100,570","3,842,463,252",240.0,240.0,238.0,238.0,-1.00,"6,034",238.2,227.875,220.075,221.22,203.9725,237.7698727162142,230.7422742152537,70.99331397861128,5.653639683193177,4.814431144385901,0.8392085388072754,203.9725,227.875
2017-10-25,"17,205,187","4,099,505,436",238.5,239.0,237.5,238.0, 0.00,"5,808",238.3,228.925,220.46666666666667,221.76,204.2625,237.84658181080948,231.43348619475333,70.99331397861127,5.525142558326166,4.9565734271739545,0.5685691311522119,204.2625,228.925
2017-10-26,"12,959,717","3,069,618,429",237.0,238.0,236.0,236.0,-2.00,"4,947",237.7,230.025,220.86666666666667,222.2,204.535,237.23105454053967,231.8683922714435,64.87452908318092,5.201959425643167,5.005650626867798,0.1963087987753695,204.535,230.025
2017-10-27,"18,040,541","4,304,460,160",237.5,240.0,237.5,239.0,+3.00,"5,715",238.0,231.225,221.25,222.72,204.815,237.82070302702647,232.5475930074965,69.16727850879472,5.128787917978229,5.0302780850898845,0.0985098328883449,204.815,231.225
2017-10-30,"30,241,990","7,358,619,170",242.0,245.0,241.5,243.0,+4.00,"10,609",238.8,232.675,221.74166666666667,223.3,205.115,239.547135351351,233.54306034011583,73.77018390573222,5.332100407209651,5.090642549513838,0.2414578576958135,205.115,232.675
2017-10-31,"22,582,013","5,497,062,659",243.5,245.0,241.5,243.0, 0.00,"8,176",239.8,234.0,222.24166666666667,223.91,205.4125,240.698090234234,234.4437212601048,73.77018390573224,5.43062614199539,5.158639268010149,0.2719868739852407,205.4125,234.0
2017-11-01,"20,465,054","4,975,624,502",243.5,245.0,241.5,242.5,-0.50,"6,464",240.7,235.3,222.6833333333333,224.53,205.705,241.2987268228227,235.2109859019996,72.20746217928199,5.406045151961507,5.208120444800421,0.1979247071610865,205.705,235.3
2017-11-02,"16,309,342","3,940,181,714",242.0,242.5,240.5,241.0,-1.50,"5,912",241.7,236.325,223.075,225.06,205.99,241.19915121521512,235.76232057799965,67.58217316688517,5.205521069718856,5.207600569784107,-0.0020795000652515,205.99,236.325
2017-11-03,"18,327,682","4,386,122,470",240.5,241.0,238.5,239.0,-2.00,"5,621",241.7,237.15,223.4833333333333,225.53,206.265,240.46610081014344,236.0706709991425,61.88972882156527,4.829548970301204,5.131990249887527,-0.3024412795863229,206.265,237.15
2017-11-06,"21,029,515","5,063,670,900",243.5,244.0,239.0,239.5,+0.50,"6,601",241.0,237.9,223.90833333333333,225.98,206.5525,240.14406720676232,236.39727376112893,62.73480285167776,4.519832379927806,5.009558675895583,-0.4897262959677775,206.5525,237.9
2017-11-07,"21,689,261","5,266,500,464",242.0,244.0,241.5,244.0,+4.50,"6,729",241.2,238.875,224.4333333333333,226.51,206.85,241.4293781378416,237.1213429267357,69.32707467631735,4.584643229294187,4.924575586575305,-0.3399323572811177,206.85,238.875
2017-11-08,"14,579,103","3,536,455,029",243.0,243.5,242.0,242.5,-1.50,"4,610",241.2,239.35,224.9583333333333,227.04,207.155,241.78625209189445,237.63359598133232,65.18746669105256,4.463516194133462,4.832363708086937,-0.368847513953475,207.155,239.35
2017-11-09,"21,366,949","5,151,628,572",240.5,243.0,240.0,241.0,-1.50,"6,339",241.2,239.525,225.40833333333333,227.54,207.4625,241.52416806126297,237.9542058878721,61.24889050778491,4.198091694288053,4.70550930532716,-0.5074176110391075,207.4625,239.525
