日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
113/07/16,"5,267,624","7,082,595,622","1,355.00","1,365.00","1,325.00","1,345.00",-10.00,"13,870"
113/07/17,"6,370,105","8,428,658,670","1,335.00","1,345.00","1,305.00","1,325.00",-20.00,"22,271"
113/07/18,"10,515,746","13,347,681,435","1,270.00","1,290.00","1,250.00","1,280.00",-45.00,"34,798"
113/07/19,"6,157,494","7,796,089,535","1,260.00","1,285.00","1,260.00","1,260.00",-20.00,"14,466"
113/07/22,"7,568,809","9,232,979,290","1,255.00","1,260.00","1,195.00","1,225.00",-35.00,"22,061"
113/07/23,"6,609,048","8,329,911,690","1,255.00","1,275.00","1,240.00","1,275.00",+50.00,"11,037"
113/07/26,"10,546,400","12,871,385,040","1,190.00","1,255.00","1,185.00","1,245.00",-30.00,"17,501"
113/07/29,"5,212,301","6,513,230,115","1,265.00","1,280.00","1,230.00","1,240.00",-5.00,"9,359"
113/07/30,"4,562,729","5,629,625,725","1,230.00","1,255.00","1,210.00","1,255.00",+15.00,"8,805"
113/07/31,"7,646,628","9,292,823,670","1,230.00","1,235.00","1,200.00","1,220.00",-35.00,"16,827"
113/08/01,"12,859,885","15,332,679,225","1,215.00","1,235.00","1,180.00","1,180.00",-40.00,"40,958"
113/08/02,"14,592,681","16,212,034,200","1,130.00","1,140.00","1,090.00","1,090.00",-90.00,"45,587"
113/08/05,"23,157,567","23,008,080,568",995.00,"1,020.00",981.00,991.00,-99.00,"51,632"
113/08/06,"16,842,716","18,099,654,330","1,090.00","1,090.00","1,035.00","1,075.00",+84.00,"23,781"
113/08/07,"10,786,767","12,169,127,620","1,090.00","1,150.00","1,080.00","1,150.00",+75.00,"17,566"
113/08/08,"8,260,831","9,237,311,345","1,120.00","1,140.00","1,100.00","1,115.00",-35.00,"12,520"
113/08/09,"7,138,660","8,121,186,220","1,150.00","1,155.00","1,120.00","1,125.00",+10.00,"11,062"
113/08/12,"4,732,084","5,517,573,265","1,145.00","1,175.00","1,140.00","1,175.00",+50.00,"9,353"
113/08/13,"3,893,560","4,536,605,460","1,180.00","1,185.00","1,150.00","1,160.00",-15.00,"7,811"
113/08/14,"4,566,599","5,398,623,020","1,175.00","1,190.00","1,170.00","1,185.00",+25.00,"8,030"
113/08/15,"3,208,717","3,738,001,210","1,170.00","1,180.00","1,155.00","1,155.00",-30.00,"7,783"
113/08/16,"7,309,904","8,910,532,695","1,185.00","1,240.00","1,185.00","1,230.00",+75.00,"15,832"
113/08/19,"6,237,209","7,801,873,255","1,240.00","1,265.00","1,230.00","1,255.00",+25.00,"10,611"
113/08/20,"4,411,805","5,535,190,910","1,270.00","1,270.00","1,240.00","1,250.00",-5.00,"8,077"
113/08/21,"4,669,809","5,711,510,720","1,220.00","1,240.00","1,210.00","1,220.00",-30.00,"9,980"
113/08/22,"3,087,965","3,789,002,525","1,230.00","1,240.00","1,215.00","1,230.00",+10.00,"5,251"
113/08/23,"4,319,266","5,221,802,920","1,205.00","1,225.00","1,190.00","1,225.00",-5.00,"8,071"
113/08/26,"3,784,179","4,646,596,305","1,245.00","1,245.00","1,210.00","1,215.00",-10.00,"8,504"
113/08/27,"3,963,303","4,767,933,865","1,200.00","1,215.00","1,190.00","1,210.00",-5.00,"6,862"
113/08/28,"4,883,821","5,851,724,725","1,205.00","1,220.00","1,185.00","1,200.00",-10.00,"15,038"
113/08/29,"5,628,485","6,915,425,790","1,175.00","1,255.00","1,175.00","1,250.00",+50.00,"11,336"
113/08/30,"6,035,560","7,485,534,325","1,260.00","1,260.00","1,225.00","1,240.00",-10.00,"6,644"
113/09/02,"3,294,144","4,033,872,708","1,240.00","1,250.00","1,215.00","1,225.00",-15.00,"5,675"
113/09/03,"3,534,979","4,292,070,390","1,225.00","1,225.00","1,200.00","1,220.00",-5.00,"6,693"
113/09/04,"10,457,652","11,943,320,285","1,135.00","1,170.00","1,130.00","1,135.00",-85.00,"31,959"
113/09/05,"9,432,513","10,509,325,015","1,120.00","1,130.00","1,105.00","1,110.00",-25.00,"21,502"
113/09/06,"5,340,953","6,061,653,645","1,110.00","1,150.00","1,105.00","1,145.00",+35.00,"7,743"
113/09/09,"7,455,495","8,209,712,700","1,100.00","1,115.00","1,090.00","1,105.00",-40.00,"17,956"
113/09/10,"5,893,397","6,599,039,331","1,115.00","1,130.00","1,100.00","1,130.00",+25.00,"8,084"
113/09/11,"4,096,499","4,588,000,025","1,125.00","1,135.00","1,110.00","1,110.00",-20.00,"6,026"
113/09/12,"4,719,178","5,409,189,304","1,150.00","1,155.00","1,135.00","1,155.00",+45.00,"6,893"
113/09/13,"3,546,828","4,032,559,340","1,160.00","1,165.00","1,125.00","1,125.00",-30.00,"6,532"
113/09/16,"3,821,456","4,270,566,545","1,120.00","1,130.00","1,100.00","1,130.00",+5.00,"8,134"
113/09/18,"7,611,728","8,412,320,642","1,115.00","1,120.00","1,095.00","1,105.00",-25.00,"15,994"
113/09/19,"7,911,002","8,750,858,160","1,105.00","1,130.00","1,080.00","1,120.00",+15.00,"11,279"
113/09/20,"9,138,981","10,381,805,590","1,145.00","1,155.00","1,125.00","1,125.00",+5.00,"8,642"
113/09/23,"4,562,996","5,195,943,045","1,125.00","1,150.00","1,120.00","1,145.00",+20.00,"5,228"
113/09/24,"7,297,056","8,563,842,676","1,135.00","1,195.00","1,135.00","1,195.00",+50.00,"14,778"
113/09/25,"11,480,089","13,988,663,410","1,220.00","1,230.00","1,205.00","1,225.00",+30.00,"14,305"
113/09/26,"9,967,330","12,562,372,950","1,235.00","1,280.00","1,230.00","1,270.00",+45.00,"21,463"
113/09/27,"9,319,433","11,879,994,727","1,280.00","1,305.00","1,250.00","1,260.00",-10.00,"15,498"
113/09/30,"8,944,466","10,742,053,380","1,235.00","1,235.00","1,175.00","1,175.00",-85.00,"21,604"
113/10/01,"6,670,719","8,060,023,400","1,195.00","1,230.00","1,190.00","1,210.00",+35.00,"8,267"
113/10/04,"7,601,314","9,294,983,046","1,200.00","1,240.00","1,200.00","1,230.00",+20.00,"8,311"
113/10/07,"9,261,022","11,611,379,170","1,250.00","1,295.00","1,230.00","1,250.00",+20.00,"14,015"
113/10/08,"4,746,298","5,848,883,970","1,240.00","1,250.00","1,225.00","1,225.00",-25.00,"7,199"
113/10/09,"5,671,636","7,099,612,015","1,260.00","1,275.00","1,240.00","1,245.00",+20.00,"7,683"
113/10/11,"10,811,730","13,968,305,075","1,265.00","1,310.00","1,265.00","1,300.00",+55.00,"22,160"
113/10/14,"4,125,156","5,348,414,625","1,310.00","1,310.00","1,285.00","1,290.00",-10.00,"7,589"
113/10/15,"6,492,009","8,443,064,872","1,310.00","1,310.00","1,290.00","1,300.00",+10.00,"9,409"
113/10/16,"7,425,191","9,479,271,445","1,260.00","1,295.00","1,260.00","1,275.00",-25.00,"9,120"
113/10/17,"4,514,915","5,769,191,656","1,295.00","1,295.00","1,265.00","1,275.00", 0.00,"6,882"
113/10/18,"8,916,104","11,696,603,095","1,300.00","1,330.00","1,295.00","1,305.00",+30.00,"16,167"
113/10/21,"6,706,607","8,911,068,199","1,310.00","1,345.00","1,310.00","1,330.00",+25.00,"11,042"
113/10/22,"5,500,454","7,177,881,915","1,310.00","1,315.00","1,295.00","1,310.00",-20.00,"10,422"
113/10/23,"5,639,751","7,338,656,535","1,280.00","1,325.00","1,275.00","1,300.00",-10.00,"9,043"
113/10/24,"4,698,981","6,041,857,535","1,300.00","1,305.00","1,270.00","1,270.00",-30.00,"9,742"
113/10/25,"7,326,983","9,577,728,957","1,270.00","1,325.00","1,270.00","1,315.00",+45.00,"10,790"
113/10/28,"5,720,182","7,605,546,735","1,330.00","1,340.00","1,315.00","1,335.00",+20.00,"9,320"
113/10/29,"5,519,603","7,163,705,970","1,315.00","1,315.00","1,285.00","1,300.00",-35.00,"10,164"
113/10/30,"5,528,055","7,169,814,530","1,290.00","1,315.00","1,285.00","1,290.00",-10.00,"7,456"
113/11/01,"9,461,786","11,967,886,995","1,220.00","1,300.00","1,220.00","1,290.00", 0.00,"10,479"
113/11/04,"3,513,519","4,539,376,735","1,285.00","1,305.00","1,280.00","1,295.00",+5.00,"5,920"
113/11/05,"3,688,814","4,751,449,530","1,285.00","1,300.00","1,280.00","1,290.00",-5.00,"6,252"
113/11/06,"3,881,189","5,070,565,620","1,290.00","1,320.00","1,290.00","1,305.00",+15.00,"6,136"
113/11/07,"4,517,086","5,932,832,649","1,330.00","1,330.00","1,300.00","1,305.00", 0.00,"6,241"
113/11/08,"4,299,470","5,567,448,850","1,310.00","1,320.00","1,280.00","1,280.00",-25.00,"14,432"
113/11/11,"2,878,555","3,717,921,510","1,300.00","1,310.00","1,280.00","1,295.00",+15.00,"5,204"
113/11/12,"4,326,905","5,530,202,775","1,280.00","1,295.00","1,265.00","1,265.00",-30.00,"10,206"
113/11/13,"4,182,334","5,275,535,820","1,265.00","1,275.00","1,255.00","1,255.00",-10.00,"8,709"
113/11/14,"4,605,044","5,717,344,476","1,260.00","1,265.00","1,230.00","1,235.00",-20.00,"11,474"
113/11/15,"4,349,007","5,454,514,520","1,240.00","1,275.00","1,230.00","1,270.00",+35.00,"7,255"
113/11/18,"3,985,278","4,960,974,080","1,260.00","1,265.00","1,230.00","1,240.00",-30.00,"7,815"
113/11/19,"4,531,599","5,776,061,685","1,255.00","1,290.00","1,245.00","1,285.00",+45.00,"7,013"
113/11/20,"4,926,471","6,292,653,555","1,285.00","1,300.00","1,260.00","1,275.00",-10.00,"7,151"
113/11/21,"2,634,995","3,323,655,575","1,265.00","1,270.00","1,255.00","1,265.00",-10.00,"4,531"
113/11/22,"6,437,379","8,349,403,790","1,280.00","1,310.00","1,270.00","1,310.00",+45.00,"10,922"
113/11/25,"7,734,600","10,046,168,660","1,325.00","1,330.00","1,280.00","1,280.00",-30.00,"8,760"
113/11/26,"3,272,636","4,185,567,280","1,280.00","1,290.00","1,270.00","1,280.00", 0.00,"5,069"
113/11/27,"3,069,870","3,882,721,705","1,270.00","1,285.00","1,250.00","1,250.00",-30.00,"7,171"
