日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,SMA_5,SMA_20,SMA_60,SMA_50,SMA_200,EMA_5,EMA_20,RSI,MACD,MACD_signal,MACD_hist,Support_Level,Resistance_Level
2024-12-03,"6,211,010","8,141,226,882",1325.0,1330.0,1295.0,1315.0,+5.00,"7,911",1277.0,1276.5,1242.0833333333333,1265.5,1208.18,1290.2854352009406,1278.5284097862416,57.2582708955509,4.8665353249150485,2.7162589987465,2.1502763261685485,1208.18,1276.5
2024-12-04,"4,844,752","6,364,952,020",1315.0,1325.0,1305.0,1320.0,+5.00,"6,345",1291.0,1277.25,1245.1666666666667,1269.5,1210.13,1300.1902901339604,1282.4780850446948,58.03426686238821,7.611887067186217,3.6953846124344434,3.9165024547517735,1210.13,1277.25
2024-12-05,"5,559,581","7,367,160,465",1325.0,1335.0,1310.0,1325.0,+5.00,"10,447",1305.0,1278.25,1248.75,1273.5,1212.075,1308.4601934226405,1286.5277912309143,58.8390474220124,10.07491892147641,4.971291474242837,5.103627447233573,1212.075,1278.25
2024-12-06,"4,364,288","5,747,214,795",1325.0,1340.0,1300.0,1305.0,-20.00,"11,555",1315.0,1279.5,1251.4166666666667,1276.7,1213.915,1307.3067956150935,1288.2870492089223,54.34930589937589,10.294389246957508,6.035911028785771,4.258478218171737,1213.915,1279.5
2024-12-09,"4,592,126","6,045,281,525",1320.0,1325.0,1300.0,1325.0,+20.00,"5,865",1318.0,1281.0,1255.0833333333333,1279.3,1215.68,1313.2045304100625,1291.7835207128344,57.8157980920614,11.944465550431689,7.217621933114954,4.726843617316733,1215.68,1281.0
2024-12-10,"8,230,114","11,015,978,916",1315.0,1360.0,1310.0,1350.0,+25.00,"12,323",1325.0,1285.25,1258.75,1281.8,1217.58,1325.4696869400418,1297.3279473116122,61.72797903711695,15.095443103860816,8.793186167264126,6.30225693659669,1217.58,1285.25
2024-12-11,"7,633,823","10,191,659,690",1320.0,1355.0,1305.0,1350.0, 0.00,"9,374",1331.0,1290.0,1262.75,1283.4,1219.515,1333.646457960028,1302.3443332819347,61.72797903711696,17.392129869609107,10.512974907733122,6.879154961875985,1219.515,1290.0
2024-12-12,"8,447,774","11,722,376,470",1370.0,1400.0,1370.0,1380.0,+30.00,"20,476",1342.0,1297.25,1266.5,1285.8,1221.505,1349.0976386400189,1309.7401110646076,66.10300744388955,21.386489815769664,12.687677889340431,8.698811926429233,1221.505,1297.25
2024-12-13,"6,733,740","9,392,980,005",1385.0,1410.0,1365.0,1410.0,+30.00,"14,746",1363.0,1304.25,1271.25,1290.5,1223.65,1369.3984257600123,1319.2886719155972,69.81856542942845,26.6654158155734,15.483225474587025,11.182190340986372,1223.65,1304.25
2024-12-16,"7,521,031","10,583,170,115",1435.0,1440.0,1385.0,1385.0,-25.00,"18,946",1375.0,1311.5,1275.5,1294.0,1225.5,1374.598950506675,1325.5468936379214,63.56556807083874,28.503145122364455,18.087209404142516,10.415935718221943,1225.5,1311.5
