new_index,nearest_index,distance,reference_date,infer_date
0,1787,3.1443663013016816,2018-01-23,2024-12-03
1,2397,4.138207295318981,2020-07-29,2024-12-04
2,2397,4.64085429695551,2020-07-29,2024-12-05
3,1787,3.3448677742003263,2018-01-23,2024-12-06
4,1935,1.9957168989903278,2018-09-03,2024-12-09
5,2397,2.8801543337079734,2020-07-29,2024-12-10
6,2397,3.2895930039451327,2020-07-29,2024-12-11
7,2397,2.8081731979643942,2020-07-29,2024-12-12
8,2397,4.2992814990174235,2020-07-29,2024-12-13
9,2477,6.905329847898686,2020-11-23,2024-12-16
10,2397,2.5203234353950976,2020-07-29,2024-12-17
11,2397,2.720146451398888,2020-07-29,2024-12-18
12,2251,1.3789160104662046,2019-12-18,2024-12-19
13,2206,1.074158798752312,2019-10-16,2024-12-20
14,2249,1.1819793328253108,2019-12-16,2024-12-23
15,2249,1.4021048516677503,2019-12-16,2024-12-24
16,2248,1.3505910627209357,2019-12-13,2024-12-25
17,2248,1.5960524925499262,2019-12-13,2024-12-26
18,2206,0.8196773208390644,2019-10-16,2024-12-27
19,2448,2.7226094870435897,2020-10-13,2024-12-30
20,2797,4.299297663815813,2022-03-21,2024-12-31
21,2791,5.975210074358389,2022-03-11,2025-01-02
22,3009,5.2580219695905415,2023-02-01,2025-01-03
23,2398,4.374635350118666,2020-07-30,2025-01-06
24,2558,6.197398993040894,2021-03-29,2025-01-07
25,2251,1.415658644746201,2019-12-18,2025-01-08
26,2252,1.8112662934589308,2019-12-19,2025-01-09
27,2288,0.7494037258764967,2020-02-19,2025-01-10
28,2287,1.8827203920936577,2020-02-18,2025-01-13
29,2287,1.6932021714571692,2020-02-18,2025-01-14
30,2249,1.5314711803915226,2019-12-16,2025-01-15
31,2448,3.348747781358838,2020-10-13,2025-01-16
32,3304,11.271412577304813,2024-04-22,2025-01-17
33,2397,3.1291173070396505,2020-07-29,2025-01-20
34,2397,2.739545448417885,2020-07-29,2025-01-21
35,2397,2.5133214166750775,2020-07-29,2025-01-22
36,2364,1.110678101825671,2020-06-10,2025-02-03
37,1771,1.3588916583720347,2017-12-29,2025-02-04
38,1840,0.7553216726145429,2018-04-19,2025-02-05
39,1765,0.7797776634268234,2017-12-21,2025-02-06
40,1764,0.8576669153204979,2017-12-20,2025-02-07
41,2252,2.3504856753367975,2019-12-19,2025-02-10
42,1798,1.5340102015216581,2018-02-07,2025-02-11
43,1799,1.8568830402961327,2018-02-08,2025-02-12
44,1358,1.6656316956151775,2016-05-03,2025-02-13
45,1358,2.0136080373739405,2016-05-03,2025-02-14
46,1360,3.151749125644195,2016-05-05,2025-02-17
47,1286,2.532578281557821,2016-01-08,2025-02-18
48,1521,1.2181721729350274,2016-12-26,2025-02-19
49,1359,2.6630703449432045,2016-05-04,2025-02-20
50,640,1.6730425708716739,2013-05-30,2025-02-21
51,1232,1.3008324074042377,2015-10-23,2025-02-24
52,743,2.291599226597917,2013-10-28,2025-02-25
53,1091,5.584564337099279,2015-03-30,2025-02-26
54,922,5.404299445316525,2014-07-21,2025-02-27
