date,keyword,title,link,publish_date
01/01/2020~01/31/2020,台積電 財經,台積電2019年每股EPS 13.32元，Q4創單季新高,https://www.wealth.com.tw/articles/c5ab4774-5e3a-4841-8154-d1c645b679bf,2020年1月16日
01/01/2020~01/31/2020,台積電 財經,〈財經週報-想當台積電〉想要複製台積電模式? 先構建技術護城河,https://ec.ltn.com.tw/article/paper/1344021,2020年1月6日
01/01/2020~01/31/2020,台積電 財經,竹科半導體廠開工必拜 搶土地公廟頭香,https://tw.stock.yahoo.com/news/%E7%AB%B9%E7%A7%91%E5%8D%8A%E5%B0%8E%E9%AB%94%E5%BB%A0%E9%96%8B%E5%B7%A5%E5%BF%85%E6%8B%9C-%E6%90%B6%E5%9C%9F%E5%9C%B0%E5%85%AC%E5%BB%9F%E9%A0%AD%E9%A6%99-135700544.html,2020年1月30日
01/01/2020~01/31/2020,台積電 財經,台積電增資本支出 15檔概念股慶賀,https://www.chinatimes.com/newspapers/20200118000347-260511,2020年1月18日
01/01/2020~01/31/2020,台積電 財經,"台積電1年資本支出3千億、還要配息2,500億，為何它不必向銀行借錢？",https://www.storm.mg/article/2102207,2020年1月7日
01/01/2020~01/31/2020,台積電 財經,台積電法說會 聚焦赴美設廠.管制華為出口,https://www.ntdtv.com.tw/b5/20200118/video/262345.html?%E5%8F%B0%E7%A9%8D%E9%9B%BB%E6%B3%95%E8%AA%AA%E6%9C%83%20%E8%81%9A%E7%84%A6%E8%B5%B4%E7%BE%8E%E8%A8%AD%E5%BB%A0.%E7%AE%A1%E5%88%B6%E8%8F%AF%E7%82%BA%E5%87%BA%E5%8F%A3,2020年1月18日
01/01/2020~01/31/2020,台積電 財經,台積電先進製程供應鏈 電動與新能源車概念股,https://www.moneyweekly.com.tw/Magazine/Info/%E7%90%86%E8%B2%A1%E5%91%A8%E5%88%8A/38290,2020年1月21日
01/01/2020~01/31/2020,台積電 財經,降低美國制裁華為影響，台積電聘前英特爾高層遊說美國政府與國會,https://www.wealth.com.tw/articles/bd1d12cc-b055-4126-87e6-c9262950e8fd,2020年1月13日
01/01/2020~01/31/2020,台積電 財經,〈財經週報-想當台積電〉飛虹 客戶都很大咖 活動公關市佔7成,https://ec.ltn.com.tw/article/paper/1344027,2020年1月6日
01/01/2020~01/31/2020,台積電 財經,金融科技怎樣重塑現代金融世界,https://tw.stock.yahoo.com/news/%E9%87%91%E8%9E%8D%E7%A7%91%E6%8A%80%E6%80%8E%E6%A8%A3%E9%87%8D%E5%A1%91%E7%8F%BE%E4%BB%A3%E9%87%91%E8%9E%8D%E4%B8%96%E7%95%8C-062537984.html,2020年1月17日
01/01/2020~01/31/2020,台積電 財經,超微蘇姿丰言必稱台積7奈米- 財經要聞- 工商時報,https://www.chinatimes.com/newspapers/20200108000233-260202,2020年1月8日
01/01/2020~01/31/2020,台積電 財經,比台積電、大立光還猛！蘋果股價狂漲1倍後，2020還能走多遠？,https://www.storm.mg/article/2204571,2020年1月21日
01/01/2020~01/31/2020,台積電 財經,〈財經週報-想當台積電〉新日光 政府強力支持 積極搶新能源市場,https://ec.ltn.com.tw/article/paper/1344026,2020年1月6日
01/01/2020~01/31/2020,台積電 財經,慈惠堂堂主郭葉子呼籲 互助團結迎新春好年,https://tw.stock.yahoo.com/news/%E6%85%88%E6%83%A0%E5%A0%82%E5%A0%82%E4%B8%BB%E9%83%AD%E8%91%89%E5%AD%90%E5%91%BC%E7%B1%B2-%E4%BA%92%E5%8A%A9%E5%9C%98%E7%B5%90%E8%BF%8E%E6%96%B0%E6%98%A5%E5%A5%BD%E5%B9%B4-092800426.html,2020年1月30日
01/01/2020~01/31/2020,台積電 財經,謝金河×谷月涵×杜金龍對談》如何抓住30年一遇大行情？,https://www.wealth.com.tw/articles/1e61c5b0-5c74-41ae-937c-0313d88bd100,2020年1月8日
01/01/2020~01/31/2020,台積電 財經,台積電首屆「前瞻佈局大賽」 元智大學隊獲首獎,https://ec.ltn.com.tw/article/breakingnews/3045925,2020年1月20日
