start_date,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63
2024-12-10,-0.4180094,0.015706114,-0.41003245,0.029059622,-0.051974297,0.31857952,0.574457,-0.08877451,-0.35585666,0.12592351,-0.21555166,0.14127557,0.24148315,0.25379065,0.16475767,-0.35798433,-0.1789219,0.3294912,0.58379,-0.23475862,0.32220376,0.017206106,-0.11024361,0.17484815,0.037255097,0.18160309,0.38591644,-0.12626724,-0.2783728,0.034642465,-0.037809353,-0.4201634,0.12468039,0.4301938,0.30843744,0.016443998,0.028134026,0.3298455,0.42036816,-0.14070359,0.48791355,0.12412988,0.18041037,-0.0028860618,-0.32705194,-0.3924114,0.26991782,-0.10192414,0.021161217,-0.356277,0.40780982,0.08102155,0.16884837,0.009435315,0.49341032,0.2708936,0.08308826,-0.007462049,0.023171918,-0.05314249,-0.3883482,0.29389027,0.24563369,0.0032029422
2024-12-11,-0.41359562,0.015943078,-0.40157124,0.02954091,-0.0530496,0.3086101,0.5654736,-0.08734651,-0.34460154,0.1198982,-0.21074039,0.13900128,0.23714508,0.24702822,0.16268796,-0.34984577,-0.17579035,0.32298166,0.57438225,-0.22145373,0.31363153,0.016217107,-0.10816303,0.16529565,0.037250403,0.17769675,0.3798515,-0.12253467,-0.27410942,0.033958286,-0.037545957,-0.4064286,0.12454164,0.41759706,0.30211237,0.016199468,0.027430957,0.3246197,0.41047508,-0.1379035,0.48037785,0.1253339,0.1745664,-0.0030186877,-0.32346982,-0.3865229,0.2650143,-0.098859675,0.022129076,-0.35255215,0.40011278,0.07978129,0.16110057,0.009590888,0.4839811,0.26925746,0.08229606,-0.0075166533,0.022435963,-0.05343835,-0.37915808,0.29093328,0.23664184,0.0030996448
2024-12-12,-0.40240878,0.015806472,-0.38698918,0.029570958,-0.05447022,0.29565993,0.54783314,-0.08623192,-0.32778215,0.11271716,-0.20420359,0.13523889,0.22834234,0.23744342,0.15902583,-0.33717093,-0.170968,0.31111127,0.5561234,-0.20348318,0.2994396,0.015081924,-0.10473188,0.15127344,0.037489023,0.17193891,0.3690043,-0.117816694,-0.26781753,0.03237176,-0.037720084,-0.38652948,0.12388182,0.39737722,0.2913075,0.016099669,0.02644666,0.31527084,0.39370972,-0.13405499,0.46609947,0.12720972,0.16680403,-0.0033197901,-0.315797,-0.37498188,0.25683838,-0.095875405,0.02455495,-0.3445222,0.38770887,0.07770046,0.15249199,0.010406939,0.4696775,0.26457098,0.08134803,-0.0074991425,0.02129336,-0.055714566,-0.36352712,0.28337064,0.22325383,0.0029950337
2024-12-13,-0.38864535,0.015109374,-0.3726188,0.028985629,-0.05576095,0.284683,0.5280152,-0.08613778,-0.3132539,0.108624734,-0.19774912,0.13119097,0.21896411,0.22941194,0.15518576,-0.32476497,-0.16626206,0.29951796,0.5353552,-0.18971992,0.28624427,0.014757558,-0.10235225,0.13939598,0.03808503,0.16709451,0.35681292,-0.113920964,-0.26185557,0.030812815,-0.03882672,-0.36860687,0.12346147,0.37898922,0.28048462,0.016542273,0.024969356,0.3052044,0.37742794,-0.13052033,0.44994786,0.12785418,0.1600221,-0.003596653,-0.30771887,-0.36205477,0.24897423,-0.09398612,0.027486697,-0.33540556,0.3754487,0.07554757,0.14818762,0.011213901,0.45622385,0.2589721,0.08034913,-0.0071908673,0.020300128,-0.058397572,-0.3484573,0.27385026,0.2124507,0.0031122714
2024-12-16,-0.370776,0.015066491,-0.35312238,0.028672198,-0.05689919,0.27144402,0.5030744,-0.08499428,-0.29446357,0.10258614,-0.18944415,0.12617183,0.20692953,0.21850935,0.15009768,-0.3080963,-0.16017196,0.28455222,0.5093489,-0.17377676,0.26879856,0.014387339,-0.098155804,0.12633346,0.038024243,0.1597175,0.3387718,-0.10947886,-0.2532168,0.028091311,-0.039171714,-0.34574383,0.12212937,0.35481358,0.26592577,0.016992688,0.023609111,0.29055867,0.35706538,-0.12551023,0.42837113,0.12806183,0.15224637,-0.0039587934,-0.29453653,-0.3448782,0.23827532,-0.09020104,0.030797936,-0.32260576,0.35990953,0.07236014,0.14269894,0.01211403,0.43815312,0.2504791,0.07824722,-0.0065236674,0.019202678,-0.060813937,-0.32905507,0.2619272,0.19837877,0.0030451736
2024-12-17,-0.34790018,0.015538623,-0.32605177,0.02790482,-0.05782903,0.2530525,0.47294658,-0.08293956,-0.269167,0.0937138,-0.17962147,0.12020775,0.19213478,0.20447968,0.14379568,-0.28555596,-0.15228963,0.26545936,0.47551018,-0.15231468,0.24463207,0.013761601,-0.091104865,0.109519325,0.036968812,0.14892817,0.3151753,-0.10337205,-0.24207547,0.023262909,-0.038229518,-0.31655627,0.11995484,0.3218039,0.24631163,0.017311923,0.022011159,0.27097318,0.3308368,-0.11822436,0.4005819,0.12736294,0.14218822,-0.004340716,-0.2774154,-0.32269573,0.22404866,-0.08385625,0.034544162,-0.30606076,0.34067416,0.067706615,0.13447382,0.013124956,0.41344932,0.23860091,0.07498875,-0.005388869,0.017866017,-0.06291895,-0.30398294,0.2453204,0.1794616,0.0024045447
2024-12-18,-0.32604137,0.01537167,-0.30293733,0.02682802,-0.058589194,0.23838687,0.44479224,-0.08219048,-0.24840817,0.090276115,-0.17100817,0.11339021,0.17868553,0.19324891,0.1373813,-0.2655462,-0.14481927,0.24944778,0.44319618,-0.13789922,0.22439685,0.014317755,-0.086641185,0.09759966,0.036243282,0.14051995,0.2913629,-0.098893374,-0.23167378,0.019365164,-0.03848389,-0.29109895,0.11817183,0.29368958,0.22786805,0.017996091,0.020022405,0.2535667,0.30824748,-0.111388594,0.37459585,0.12465982,0.13369277,-0.004554268,-0.2612734,-0.30191776,0.21172325,-0.07912757,0.038552053,-0.29030377,0.32146332,0.06286277,0.12968686,0.013757182,0.39066848,0.22638814,0.071700044,-0.003734761,0.016184049,-0.06476948,-0.28287372,0.22781199,0.16460535,0.0020935102
2024-12-19,-0.30904654,0.014369707,-0.28778362,0.025901096,-0.058682963,0.2298546,0.4241612,-0.082245775,-0.2365391,0.091584995,-0.16495089,0.108123854,0.16915783,0.186026,0.13251315,-0.25067666,-0.1396705,0.2383074,0.4193774,-0.13331705,0.2119606,0.01573865,-0.085087836,0.092041604,0.035877142,0.13543668,0.2720196,-0.09707042,-0.22419067,0.017034842,-0.039092254,-0.27487496,0.11693669,0.27643204,0.21508807,0.019192224,0.018095797,0.24081013,0.29384995,-0.106303655,0.35499468,0.12186466,0.12824678,-0.004536629,-0.24784972,-0.28641465,0.20320156,-0.07779462,0.041581195,-0.27804226,0.3072958,0.058957715,0.13080016,0.013770372,0.37409842,0.21604757,0.06905418,-0.0025204548,0.015537007,-0.0657337,-0.26791137,0.21460956,0.15692295,0.0023494603
2024-12-20,-0.2871359,0.015165428,-0.26301512,0.025514191,-0.058167536,0.21427087,0.3973384,-0.07962334,-0.21569255,0.086799964,-0.15596959,0.10221035,0.15545763,0.1728105,0.12596692,-0.2283094,-0.13231373,0.22156261,0.38822213,-0.11991278,0.19043823,0.016594237,-0.07927737,0.08132628,0.033178832,0.12409348,0.2456893,-0.092134714,-0.21262923,0.010780106,-0.036509775,-0.2489265,0.11356203,0.24794528,0.19497538,0.019989356,0.016206995,0.22109245,0.272598,-0.097538196,0.32759544,0.117009535,0.12020178,-0.0043102857,-0.22878303,-0.26473722,0.18950641,-0.07249593,0.04429437,-0.2604343,0.28904888,0.05324854,0.12630023,0.013489402,0.3485969,0.20191672,0.06469135,-0.00041323228,0.015192829,-0.0658582,-0.24615714,0.19633369,0.14292197,0.001151689
2024-12-23,-0.27051377,0.014660772,-0.2451148,0.024432054,-0.0576255,0.20264511,0.37745264,-0.07816748,-0.20143469,0.08644116,-0.14993459,0.09679639,0.14540145,0.16388659,0.120914966,-0.21157819,-0.12655032,0.20957692,0.3632253,-0.1119898,0.17511745,0.017856328,-0.0760403,0.07484754,0.031337693,0.11663947,0.22515565,-0.08883677,-0.20446199,0.0068291663,-0.034704033,-0.23009169,0.111127965,0.22817959,0.17957093,0.020873703,0.013979298,0.20708424,0.25742117,-0.09059325,0.30782664,0.11206964,0.11392129,-0.0039363955,-0.21457441,-0.24866433,0.17921537,-0.0699781,0.04679402,-0.24670075,0.27402478,0.0485357,0.12460782,0.013121956,0.32820016,0.18984799,0.061085906,0.0013877352,0.014995836,-0.065932214,-0.22945437,0.18058948,0.13330857,0.00025999165
2024-12-24,-0.27072215,0.011231123,-0.25139326,0.02319911,-0.058084972,0.2089499,0.37931696,-0.08095996,-0.20804821,0.095231146,-0.15228575,0.09583221,0.1468987,0.1673501,0.12179612,-0.21216434,-0.12700905,0.21237837,0.36435667,-0.12270259,0.1800866,0.019159438,-0.08071946,0.07982615,0.033242222,0.12136337,0.22410224,-0.09269502,-0.20586908,0.009741444,-0.03745524,-0.235699,0.1120816,0.23587164,0.18329991,0.02213306,0.013181871,0.21008888,0.26225165,-0.09201422,0.309316,0.11254624,0.1133188,-0.004059117,-0.214077,-0.2508339,0.18113756,-0.074434325,0.048145216,-0.24868843,0.272855,0.048359178,0.13314468,0.012399379,0.33091187,0.189536,0.061946224,0.0006202988,0.015024536,-0.06572027,-0.230393,0.18059571,0.14009322,0.0016951319
2024-12-25,-0.27525267,0.0100049265,-0.2601503,0.02384711,-0.057992782,0.21368247,0.3849472,-0.081178226,-0.21587017,0.09995488,-0.15396301,0.09729318,0.14875059,0.17087057,0.12402909,-0.21663283,-0.12822284,0.21698865,0.37205613,-0.13166185,0.18555272,0.020109005,-0.084645174,0.08560327,0.03460085,0.12492655,0.22763422,-0.094858296,-0.2088495,0.011917802,-0.038136058,-0.24276452,0.11236892,0.2472408,0.18939598,0.023269035,0.012752542,0.21289368,0.26865998,-0.09324637,0.31243157,0.11265333,0.11420155,-0.0039097657,-0.21687694,-0.25541553,0.18400992,-0.077644534,0.04717109,-0.2521659,0.27727592,0.049878366,0.13958344,0.010967017,0.33653888,0.19321719,0.062889375,-0.00019060253,0.016663594,-0.064422004,-0.23421445,0.18508601,0.14780211,0.0028134254
2024-12-26,-0.28273714,0.009533787,-0.2712375,0.02482729,-0.058176074,0.21918534,0.39320672,-0.081219845,-0.22449647,0.10447691,-0.15588112,0.09907226,0.15155351,0.17521736,0.1268865,-0.22322372,-0.12982899,0.2234212,0.3822894,-0.1403145,0.19325541,0.02099227,-0.08926365,0.0926169,0.03624607,0.1295734,0.23406617,-0.09723607,-0.21272385,0.014945201,-0.038683824,-0.2504562,0.1131845,0.26007855,0.19725834,0.02394799,0.012610063,0.21778946,0.27641946,-0.09521983,0.31902617,0.11346771,0.11600009,-0.0037815736,-0.22228041,-0.26263356,0.18866582,-0.08072864,0.045684885,-0.25713062,0.2825173,0.051986802,0.1449646,0.009680702,0.34444255,0.19901131,0.064029574,-0.00092809106,0.018422855,-0.06328542,-0.24079876,0.19150156,0.15580615,0.0038327011
2024-12-27,-0.29901895,0.008850809,-0.28814426,0.026142731,-0.0590669,0.22660989,0.41060364,-0.08225247,-0.237579,0.10841159,-0.15898183,0.10333062,0.16046798,0.18180515,0.13155957,-0.23488927,-0.13384145,0.23477276,0.4011126,-0.14961952,0.20715395,0.020954447,-0.09458797,0.100482844,0.037983652,0.13762203,0.24798562,-0.100272566,-0.21949951,0.018765308,-0.040212475,-0.2640929,0.11585864,0.27721974,0.21063122,0.023863107,0.013223155,0.22953928,0.28892678,-0.100244224,0.33422357,0.11592463,0.11826587,-0.0035794496,-0.23530263,-0.27617604,0.19802555,-0.08292004,0.04262384,-0.26959518,0.29274476,0.05586089,0.15009703,0.008516156,0.35919994,0.21106909,0.066631086,-0.0022531177,0.019470163,-0.061814886,-0.25427684,0.20333622,0.1657316,0.0045806896
