date,keyword,title,link,publish_date
11/19/2010~12/19/2010,聯發科 財經,2現象驗證 主升段來了！ - Smart自學網|財經好讀 - 出版品 - 密技 - 賺錢，跟著贏家走,https://smart.businessweekly.com.tw/Books/special2.aspx?p=4&id=41869&type=1,2010年11月26日
05/24/2011~06/23/2011,聯發科 財經,聯發科併雷凌 不影響市佔率,https://ec.ltn.com.tw/article/paper/499240,2011年6月9日
12/27/2011~01/26/2012,聯發科 財經,蔡宏圖表態：支持穩定的兩岸關係,https://finance.ettoday.net/news/18779,2012年1月13日
01/27/2012~02/26/2012,聯發科 財經,美林：記憶體族群 看不到春燕,https://ec.ltn.com.tw/article/paper/560988,2012年2月15日
01/27/2012~02/26/2012,聯發科 財經,張綱維稱不愛名女人　自爆「我單身」,https://finance.ettoday.net/news/22202,2012年2月1日
03/29/2012~04/28/2012,聯發科 財經,科技富豪避稅「星」趨勢　曹興誠、王泉仁入籍新加坡,https://finance.ettoday.net/news/41310,2012年4月24日
05/30/2012~06/29/2012,聯發科 財經,跌破眼鏡！聯發科併晨星- 財經要聞- 工商時報,https://www.chinatimes.com/newspapers/20120623000003-260202,2012年6月23日
05/30/2012~06/29/2012,聯發科 財經,聯發科併購晨星逾4成股權　震撼IC設計業,https://finance.ettoday.net/news/64110,2012年6月22日
05/30/2012~06/29/2012,聯發科 財經,聯發科砸1150億元 併購F-晨星,https://www.moneyweekly.com.tw/Magazine/Info/%E7%90%86%E8%B2%A1%E5%91%A8%E5%88%8A/18727,2012年6月22日
05/30/2012~06/29/2012,聯發科 財經,聯發科砸1140億元併晨星- 焦點要聞- 中國時報,https://www.chinatimes.com/newspapers/20120623000462-260102,2012年6月23日
08/31/2012~09/30/2012,聯發科 財經,金融家月刊五週年慶好禮三重送,https://paper.udn.com/udnpaper/POE0041/223099/web/,2012年9月11日
02/02/2013~03/04/2013,聯發科 財經,F-晨星去年EPS 降至8.53元,https://ec.ltn.com.tw/article/paper/652608,2013年2月5日
03/05/2013~04/04/2013,聯發科 財經,聯發科首季表現 可望超越財測,https://ec.ltn.com.tw/article/paper/667157,2013年4月2日
03/05/2013~04/04/2013,聯發科 財經,辜公怡、蔡誼甄、陳安 香江拚搏路,https://www.businesstoday.com.tw/article/category/80395/post/201303280039/,2013年3月28日
03/05/2013~04/04/2013,聯發科 財經,國泰世華銀行信安分行開幕,https://finance.ettoday.net/news/176784,2013年3月18日
04/05/2013~05/05/2013,聯發科 財經,疑內線交易 聯發科經理百萬交保,https://ec.ltn.com.tw/article/breakingnews/801754,2013年5月2日
