date,keyword,title,link,publish_date
08/13/2023~09/12/2023,聯發科 財經,信驊奪回股王IC設計股歡呼- 財經要聞- 工商時報,https://www.chinatimes.com/newspapers/20230829000108-260202,2023年8月29日
08/13/2023~09/12/2023,聯發科 財經,〈財經週報-產業薪情〉2022產業薪資比一比 長榮海是冠軍中的冠軍,https://ec.ltn.com.tw/article/paper/1599197,2023年8月14日
08/13/2023~09/12/2023,聯發科 財經,上市獲利前20名出爐！台積電再居獲利王 廣達擠進前6名,https://tw.stock.yahoo.com/news/%E4%B8%8A%E5%B8%82%E7%8D%B2%E5%88%A9%E5%89%8D20%E5%90%8D%E5%87%BA%E7%88%90%EF%BC%81%E5%8F%B0%E7%A9%8D%E9%9B%BB%E5%86%8D%E5%B1%85%E7%8D%B2%E5%88%A9%E7%8E%8B-%E5%BB%A3%E9%81%94%E6%93%A0%E9%80%B2%E5%89%8D6%E5%90%8D-082846712.html,2023年8月14日
08/13/2023~09/12/2023,聯發科 財經,蔣尚義：中國晶片業最大障礙始終是人,https://ec.ltn.com.tw/article/breakingnews/4417506,2023年9月4日
08/13/2023~09/12/2023,聯發科 財經,訊連 FaceMe Day 登場！臉部辨識應用金融、安控、門禁遍地開花,https://finance.technews.tw/2023/08/31/faceme-day/,2023年8月31日
09/13/2023~10/13/2023,聯發科 財經,聯發科金雞10月掛牌達發晶片吃AI、網通商機- 日報,https://www.ctee.com.tw/news/20230921700070-439901,2023年9月21日
09/13/2023~10/13/2023,聯發科 財經,聯發科千元有譜？　美系外資嗨喊：華麗轉向AI裝置,https://finance.ettoday.net/news/2594957,2023年10月3日
09/13/2023~10/13/2023,聯發科 財經,蔡明介逆風突圍3》蔡明介一雙兒女掌理4家投資公司 為何念的是電機，卻都走上金融之路？,https://www.wealth.com.tw/articles/e2ae6c12-ea01-4b2f-baba-8f737a1a3f96,2023年9月13日
09/13/2023~10/13/2023,聯發科 財經,聯發科小金雞達發科技 10 月上市，網通基礎加物聯網為發展重心,https://finance.technews.tw/2023/09/20/airoha-technology-will-be-listed-in-october-will-be-listed-in-october/,2023年9月20日
09/13/2023~10/13/2023,聯發科 財經,【有影】達發科技10 月下旬掛牌上市聯發科技董事長蔡明介公開力挺,https://cnews.com.tw/%E3%80%90%E6%9C%89%E5%BD%B1%E3%80%91%E9%81%94%E7%99%BC%E7%A7%91%E6%8A%8010%E6%9C%88%E4%B8%8B%E6%97%AC%E6%8E%9B%E7%89%8C%E4%B8%8A%E5%B8%82-%E8%81%AF%E7%99%BC%E7%A7%91%E6%8A%80%E8%91%A3%E4%BA%8B/,2023年9月21日
09/13/2023~10/13/2023,聯發科 財經,新案動能強，台積3nm明年月產能增至10萬片- 新聞,https://www.moneydj.com/kmdj/news/newsviewer.aspx?a=f30e76d4-1f69-4f13-aa85-66e8214bdcd6,2023年9月25日
09/13/2023~10/13/2023,聯發科 財經,聯發科小金雞達發十月底上市　董座謝清江：網路設備晶片發展機會很大,https://www.mirrormedia.mg/story/20230920fin002,2023年9月20日
09/13/2023~10/13/2023,聯發科 財經,亞洲新鏈》5萬工程師，撐起越南IC設計聚落！黃仁勳、智原、創意搶進,https://www.businessweekly.com.tw/international/blog/3013359,2023年9月22日
09/13/2023~10/13/2023,聯發科 財經,密碼台灣》全球前十大IC設計 台灣佔3家,https://ec.ltn.com.tw/article/breakingnews/4449567,2023年10月7日
09/13/2023~10/13/2023,聯發科 財經,又一檔月月配高股息ETF新兵00934報到！10/16每股15元開募,https://tw.stock.yahoo.com/news/%E5%8F%88%E4%B8%80%E6%AA%94%E6%9C%88%E6%9C%88%E9%85%8D%E9%AB%98%E8%82%A1%E6%81%AFetf%E6%96%B0%E5%85%B500934%E5%A0%B1%E5%88%B0%EF%BC%811016%E6%AF%8F%E8%82%A115%E5%85%83%E9%96%8B%E5%8B%9F-070452352.html,2023年10月3日
09/13/2023~10/13/2023,聯發科 財經,聯發科小金雞達發科技訂 10 月上市，蔡明介預錄影片力挺,https://finance.technews.tw/2023/09/21/mediatek-supports-subsidiary-airoha-technology/,2023年9月21日
09/13/2023~10/13/2023,聯發科 財經,抽大紅包只剩今天！　達發中籤1張賺10.5萬元,https://finance.ettoday.net/news/2600209,2023年10月11日
09/13/2023~10/13/2023,聯發科 財經,蔡明介逆風突圍｜數位專題,https://www.wealth.com.tw/lists/topics/134,2023年9月13日
09/13/2023~10/13/2023,聯發科 財經,元大台灣50（0050）ETF該入手嗎？成分股、配息月份、配息幾次、配息金額、績效，5分鐘一次看懂！,https://www.storm.mg/lifestyle/4869085,2023年9月20日
09/13/2023~10/13/2023,聯發科 財經,全家超商9月合併營收84.8億元 年增11.37％,https://tw.news.yahoo.com/%E5%85%A8%E5%AE%B6%E8%B6%85%E5%95%869%E6%9C%88%E5%90%88%E4%BD%B5%E7%87%9F%E6%94%B684-8%E5%84%84%E5%85%83-%E5%B9%B4%E5%A2%9E11-37-102118318.html,2023年10月11日
09/13/2023~10/13/2023,聯發科 財經,第二季全球前十大 IC 設計營收季增 12.5%，第三季有望創新高,https://finance.technews.tw/2023/09/21/top10-ic-design-2023q2/,2023年9月21日
09/13/2023~10/13/2023,聯發科 財經,先探／WiFi 7啟動　供應鏈備戰多時,https://finance.ettoday.net/news/2587306,2023年9月21日
10/14/2023~11/13/2023,聯發科 財經,天下財經週報：手機靠不住了，聯發科未來靠什麼成長？,https://www.cw.com.tw/article/5127799,2023年10月20日
10/14/2023~11/13/2023,聯發科 財經,財經週報》聯發科天璣新品，說明AI股仍可期？虛坪改革效果已現,https://www.gvm.com.tw/article/107019,2023年10月23日
10/14/2023~11/13/2023,聯發科 財經,全球半導體聯盟最高榮譽 聯發科執行長蔡力行獲「張忠謀博士模範領袖獎」,https://tw.stock.yahoo.com/news/%E8%81%AF%E7%99%BC%E7%A7%91%E5%9F%B7%E8%A1%8C%E9%95%B7%E8%94%A1%E5%8A%9B%E8%A1%8C%E7%8D%B2%E3%80%8C%E5%BC%B5%E5%BF%A0%E8%AC%80%E5%8D%9A%E5%A3%AB%E6%A8%A1%E7%AF%84%E9%A0%98%E8%A2%96%E7%8D%8E%E3%80%8D-040733870.html,2023年10月26日
10/14/2023~11/13/2023,聯發科 財經,聯發科出手了！擬加碼達發最多6000張,https://ec.ltn.com.tw/article/breakingnews/4482096,2023年11月7日
10/14/2023~11/13/2023,聯發科 財經,高通、聯發科搶進車用晶片 台積電將推新武器,https://www.ntdtv.com.tw/b5/20231104/video/377110.html?%E9%AB%98%E9%80%9A%E3%80%81%E8%81%AF%E7%99%BC%E7%A7%91%E6%90%B6%E9%80%B2%E8%BB%8A%E7%94%A8%E6%99%B6%E7%89%87%20%E5%8F%B0%E7%A9%8D%E9%9B%BB%E5%B0%87%E6%8E%A8%E6%96%B0%E6%AD%A6%E5%99%A8,2023年11月4日
10/14/2023~11/13/2023,聯發科 財經,聯發科暌違17個月 股價重新登上900元,https://www.ctee.com.tw/news/20231108700528-430201,2023年11月8日
10/14/2023~11/13/2023,聯發科 財經,【財經希引力】達發科技2024搶先看…,https://www.hwa-guan.com.tw/Wealth/ViewPoint/ArticleContent?C_id=10353,2023年11月3日
10/14/2023~11/13/2023,聯發科 財經,【全文】興櫃股王轉上市　蔡明介改造達發變身小金雞,https://www.mirrormedia.mg/story/20231016fin001,2023年10月16日
10/14/2023~11/13/2023,聯發科 財經,達發順利掛牌但上市首日股價收黑| 財經,https://video.udn.com/news/1276073,2023年10月19日
10/14/2023~11/13/2023,聯發科 財經,聯發科執行長蔡力行獲「張忠謀博士模範領袖獎」 表彰對科技產業貢獻,https://tw.nextapple.com/finance/20231026/50190263A10C17C40F2E16F4783D940E,2023年10月26日
10/14/2023~11/13/2023,聯發科 財經,聯發科技執行長蔡力行博士榮獲張忠謀博士模範領袖獎- 生活,https://www.ctee.com.tw/news/20231026700644-431401,2023年10月26日
10/14/2023~11/13/2023,聯發科 財經,美晶片新禁令太毒 AI伺服器團滅 專家稱：聯電等6家死裡逃生,https://tw.stock.yahoo.com/news/%E7%BE%8E%E6%99%B6%E7%89%87%E6%96%B0%E7%A6%81%E4%BB%A4%E5%A4%AA%E6%AF%92-ai%E4%BC%BA%E6%9C%8D%E5%99%A8%E5%9C%98%E6%BB%85-%E5%B0%88%E5%AE%B6%E7%A8%B1-%E8%81%AF%E9%9B%BB%E7%AD%896%E5%AE%B6%E6%AD%BB%E8%A3%A1%E9%80%83%E7%94%9F-015955177.html,2023年10月18日
10/14/2023~11/13/2023,聯發科 財經,聯發科竹科大樓地下停車場發生火警 虛驚一場,https://ec.ltn.com.tw/article/breakingnews/4488443,2023年11月13日
10/14/2023~11/13/2023,聯發科 財經,【聯發最強小金雞2】最佳戰友神救援　謝清江對症下藥助達發谷底翻身,https://www.mirrormedia.mg/story/20231016fin004,2023年10月16日
10/14/2023~11/13/2023,聯發科 財經,聯發科、聯詠、雷虎、亞光...10檔台、美無人機概念股軍：上中下游供應鏈、八大應用領域...,https://money.udn.com/money/story/5612/7548448,2023年11月2日
