new_index,nearest_index,distance,reference_date,infer_date
102,998,0.7905984466575748,2014-11-07,2011-03-23
103,68,0.9227646207909439,2011-02-09,2011-03-24
104,998,0.8108000636486458,2014-11-07,2011-03-25
105,998,0.8044717448119697,2014-11-07,2011-03-28
106,998,0.7790103804988534,2014-11-07,2011-03-29
107,998,0.9104677599673779,2014-11-07,2011-03-30
108,998,0.8996098457333958,2014-11-07,2011-03-31
109,998,0.8515279651537033,2014-11-07,2011-04-01
110,998,1.0231531011877828,2014-11-07,2011-04-06
111,998,0.8949144496232465,2014-11-07,2011-04-07
112,68,0.9556431440768203,2011-02-09,2011-04-08
113,998,0.9578146740169972,2014-11-07,2011-04-11
114,68,0.7711336903161694,2011-02-09,2011-04-12
115,68,0.7693466879508833,2011-02-09,2011-04-13
116,68,0.7162685702104743,2011-02-09,2011-04-14
117,68,0.9060765446458494,2011-02-09,2011-04-15
118,68,0.828639574766263,2011-02-09,2011-04-18
119,68,0.8157126178012631,2011-02-09,2011-04-19
120,1020,0.9046794812012287,2014-12-09,2011-04-20
121,998,0.9170517911978422,2014-11-07,2011-04-21
122,68,0.927481809504162,2011-02-09,2011-04-22
123,1020,0.8985054533903091,2014-12-09,2011-04-25
124,998,0.576228717229008,2014-11-07,2011-04-26
125,998,0.8532858223198092,2014-11-07,2011-04-27
126,998,0.8256508581264648,2014-11-07,2011-04-28
127,998,0.8753744463328916,2014-11-07,2011-04-29
128,998,0.6207413977670292,2014-11-07,2011-05-03
129,998,1.0302146816933253,2014-11-07,2011-05-04
130,998,0.8053240285206047,2014-11-07,2011-05-05
131,998,0.8230195742025805,2014-11-07,2011-05-06
132,998,0.8299085204081799,2014-11-07,2011-05-09
133,998,1.061157188716724,2014-11-07,2011-05-10
134,68,0.9456667492395922,2011-02-09,2011-05-11
135,998,0.9103078365313655,2014-11-07,2011-05-12
136,68,0.9454170238744903,2011-02-09,2011-05-13
137,68,0.8690950021832489,2011-02-09,2011-05-16
138,68,0.8615330961741389,2011-02-09,2011-05-17
139,998,1.0402425526210437,2014-11-07,2011-05-18
140,68,0.9199667360776218,2011-02-09,2011-05-19
141,68,0.8670742003463862,2011-02-09,2011-05-20
142,68,0.9195608031921039,2011-02-09,2011-05-23
143,1020,1.025633497589224,2014-12-09,2011-05-24
144,1020,1.0537991891354612,2014-12-09,2011-05-25
145,998,0.8912017942297639,2014-11-07,2011-05-26
146,68,0.9577767067300641,2011-02-09,2011-05-27
147,1020,0.9983194172980541,2014-12-09,2011-05-30
148,68,0.9295526133115868,2011-02-09,2011-05-31
149,998,1.00016257932903,2014-11-07,2011-06-01
150,68,0.9901485858539296,2011-02-09,2011-06-02
151,68,0.9642573378744574,2011-02-09,2011-06-03
152,68,0.9780339547631668,2011-02-09,2011-06-07
153,1020,1.008136491986236,2014-12-09,2011-06-08
154,1020,1.041503627481311,2014-12-09,2011-06-09
155,68,1.0764762727451673,2011-02-09,2011-06-10
156,1020,0.9810718273193162,2014-12-09,2011-06-13
157,68,1.1003707072878604,2011-02-09,2011-06-14
158,998,0.7864070411630021,2014-11-07,2011-06-15
159,998,1.0017228703350831,2014-11-07,2011-06-16
160,1020,1.0439783463275567,2014-12-09,2011-06-17
161,1020,1.0148270787500506,2014-12-09,2011-06-20
162,1020,1.0127041318269876,2014-12-09,2011-06-21
163,1020,1.0131409071845345,2014-12-09,2011-06-22
164,998,0.9367360726832394,2014-11-07,2011-06-23
165,1020,1.0760852371131278,2014-12-09,2011-06-24
166,1020,1.0121549626906274,2014-12-09,2011-06-27
167,1020,1.0510349690270193,2014-12-09,2011-06-28
168,1020,1.0677066714355676,2014-12-09,2011-06-29
169,1020,1.0349443304400587,2014-12-09,2011-06-30
170,1020,1.1086766240437134,2014-12-09,2011-07-01
171,674,1.1802946424806953,2013-07-18,2011-07-04
172,609,1.084568783083229,2013-04-16,2011-07-05
173,527,1.0249537395231303,2012-12-07,2011-07-06
174,2156,1.0241640307418312,2019-08-01,2011-07-07
175,2329,1.1997448188531303,2020-04-22,2011-07-08
176,636,1.2916274297998216,2013-05-24,2011-07-11
177,589,1.1678187738899588,2013-03-15,2011-07-12
178,2329,1.2227407386486944,2020-04-22,2011-07-13
179,688,1.199906287649858,2013-08-07,2011-07-14
180,636,1.2762173557997976,2013-05-24,2011-07-15
181,688,1.1549805610066508,2013-08-07,2011-07-18
182,636,1.266728013062336,2013-05-24,2011-07-19
183,1137,1.0941370169254547,2015-06-05,2011-07-20
184,636,1.216407714736869,2013-05-24,2011-07-21
185,589,1.2536418216543272,2013-03-15,2011-07-22
186,589,1.264556481072923,2013-03-15,2011-07-25
187,589,1.2730105854393061,2013-03-15,2011-07-26
188,618,1.2679799863328243,2013-04-29,2011-07-27
189,589,1.3063238637592747,2013-03-15,2011-07-28
190,589,1.3349658379244587,2013-03-15,2011-07-29
191,463,1.579974733876845,2012-09-07,2011-08-01
192,589,1.3482374930624679,2013-03-15,2011-08-02
193,589,1.2910575738547296,2013-03-15,2011-08-03
194,589,1.2072703708331898,2013-03-15,2011-08-04
195,589,1.174841323793526,2013-03-15,2011-08-05
